Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2016-11-01,49.36,3679,41.13,2745,30.18,1985,59.63,161
2016-11-02,47.46,3795,39.55,2900,29.26,2095,59.89,177
2016-11-03,48.72,3551,38.08,2584,26.07,1807,52.87,174
2016-11-04,45.53,3090,37.18,2372,26.97,1709,68.70,131
2016-11-05,45.65,609,38.81,469,31.81,349,68.42,19
2016-11-06,45.53,571,40.18,448,30.63,320,58.06,31
2016-11-07,53.05,3225,48.01,2508,37.22,1706,70.59,136
2016-11-08,46.70,3349,40.91,2652,30.49,1827,69.33,150
2016-11-09,48.33,5020,41.77,3902,30.47,2711,71.96,214
2016-11-10,49.74,4095,43.59,3157,32.92,2196,67.50,240
2016-11-11,48.66,3097,41.03,2330,32.40,1648,75.96,183
2016-11-12,48.16,706,42.88,513,34.19,351,60.71,28
2016-11-13,50.09,571,46.82,440,43.69,325,64.38,73
2016-11-14,50.44,3444,44.52,2657,34.53,1813,73.48,181
2016-11-15,51.60,3657,46.62,2825,38.61,1966,74.54,216
2016-11-16,47.73,3388,42.15,2631,35.29,1938,72.04,211
2016-11-17,51.36,3505,45.40,2672,35.13,1822,67.02,191
2016-11-18,47.75,2781,41.10,2100,31.97,1492,61.03,136
2016-11-19,52.41,540,45.04,393,36.90,271,71.88,32
2016-11-20,50.81,553,44.52,429,36.96,303,79.07,43
2016-11-21,50.38,2872,44.57,2237,38.19,1626,69.11,191
2016-11-22,50.68,3029,44.25,2312,35.67,1643,70.49,183
2016-11-23,49.11,2710,42.49,2064,35.37,1490,67.53,154
2016-11-24,51.69,679,48.75,521,43.10,355,78.79,33
2016-11-25,54.59,1427,49.31,1083,41.64,742,57.47,87
2016-11-26,56.34,536,52.67,412,47.81,297,75.61,41
2016-11-27,50.00,586,43.39,454,38.94,321,84.78,46
2016-11-28,50.47,2903,44.75,2230,36.96,1588,62.11,161
2016-11-29,50.43,3230,45.64,2524,38.28,1852,75.38,195
2016-11-30,48.55,3736,42.10,2891,34.60,2104,68.61,223
2016-12-01,45.54,3898,38.60,3013,29.32,2159,54.59,229
2016-12-02,46.06,3072,38.73,2316,30.21,1728,57.25,131
2016-12-03,52.95,729,47.26,565,41.91,408,70.00,70
2016-12-04,51.45,552,45.89,414,39.57,278,88.24,17
2016-12-05,50.90,2992,45.15,2277,37.65,1652,74.05,131
2016-12-06,51.11,3618,45.99,2794,38.10,1971,73.93,234
2016-12-07,48.38,4086,42.82,3139,34.96,2240,79.48,268
2016-12-08,48.37,3978,42.01,3054,33.70,2196,78.02,232
2016-12-09,51.03,3402,44.46,2546,35.67,1786,78.57,182
2016-12-10,51.04,766,45.44,581,37.26,416,75.00,60
2016-12-11,55.69,571,54.07,442,50.32,310,84.21,57
2016-12-12,47.34,3276,40.46,2496,31.30,1773,54.72,159
2016-12-13,49.31,3693,42.71,2831,33.52,1978,74.47,188
2016-12-14,43.77,3521,37.08,2778,27.94,2026,61.85,173
2016-12-15,48.40,3529,42.27,2664,33.84,1903,66.82,217
2016-12-16,49.72,3081,43.28,2306,34.37,1574,75.59,127
2016-12-17,55.26,722,49.06,534,42.37,380,93.94,66
2016-12-18,56.37,518,51.74,373,44.88,254,54.05,37
2016-12-19,50.12,2562,43.46,1949,35.04,1384,56.19,105
2016-12-20,50.47,3065,44.22,2311,34.95,1611,80.83,120
2016-12-21,49.50,2774,43.93,2126,35.90,1496,69.77,129
2016-12-22,51.18,2591,45.14,1934,35.55,1277,68.25,126
