Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,64.29,14,58.33,12,57.14,7
2016-11-02,45.00,20,31.25,16,27.27,11
2016-11-03,50.00,10,57.14,7,0.00,2
2016-11-04,57.14,7,50.00,4,50.00,2
2016-11-05,62.50,8,66.67,6,66.67,3
2016-11-06,66.67,3,66.67,3,0.00,1
2016-11-07,50.00,8,40.00,5,40.00,5
2016-11-08,60.00,10,66.67,9,66.67,6
2016-11-09,58.33,12,57.14,7,33.33,3
2016-11-10,54.84,31,53.85,26,55.00,20
2016-11-11,43.75,16,36.36,11,25.00,8
2016-11-12,66.67,6,50.00,4,50.00,4
2016-11-13,100.00,1,100.00,1,100.00,1
2016-11-14,54.76,42,48.39,31,33.33,12
2016-11-15,70.00,10,66.67,9,100.00,3
2016-11-16,72.73,11,66.67,9,100.00,2
2016-11-17,53.33,15,37.50,8,20.00,5
2016-11-18,69.23,13,66.67,9,66.67,3
2016-11-19,100.00,4,100.00,4,100.00,4
2016-11-20,80.00,10,88.89,9,85.71,7
2016-11-21,60.00,25,61.11,18,54.55,11
2016-11-22,69.05,42,62.07,29,47.06,17
2016-11-23,50.00,18,52.94,17,44.44,9
2016-11-24,62.50,8,75.00,4,100.00,3
2016-11-25,55.00,20,53.85,13,66.67,6
2016-11-26,100.00,1,100.00,1,100.00,1
2016-11-27,87.50,8,87.50,8,83.33,6
2016-11-28,71.43,21,66.67,15,63.64,11
2016-11-29,57.50,40,57.14,28,50.00,18
2016-11-30,46.88,32,44.00,25,35.29,17
2016-12-01,49.06,53,46.15,39,36.36,22
2016-12-02,63.64,11,55.56,9,40.00,5
2016-12-03,62.50,8,71.43,7,71.43,7
2016-12-04,33.33,6,40.00,5,50.00,4
2016-12-05,56.52,23,52.63,19,46.15,13
2016-12-06,50.00,12,42.86,7,20.00,5
2016-12-07,47.06,34,59.09,22,50.00,10
2016-12-08,65.62,32,50.00,18,16.67,6
2016-12-09,39.56,91,33.90,59,20.59,34
2016-12-10,20.00,5,33.33,3,33.33,3
2016-12-11,57.14,7,75.00,4,100.00,2
2016-12-12,65.38,26,65.00,20,63.64,11
2016-12-13,60.00,30,57.89,19,62.50,8
2016-12-14,78.95,19,78.57,14,71.43,7
2016-12-15,65.38,26,65.00,20,58.33,12
2016-12-16,53.33,30,43.48,23,42.86,14
2016-12-17,60.00,5,60.00,5,50.00,4
2016-12-18,100.00,9,100.00,7,100.00,6
2016-12-19,90.00,20,88.89,18,84.62,13
2016-12-20,42.86,14,60.00,10,40.00,5
2016-12-21,50.00,34,44.44,27,50.00,20
2016-12-22,57.89,19,62.50,16,63.64,11
2016-12-23,50.00,12,55.56,9,42.86,7
2016-12-24,60.00,5,60.00,5,75.00,4
2016-12-25,0.00,1,0.00,1,0.00,1
2016-12-26,85.71,7,83.33,6,80.00,5
2016-12-27,68.42,19,75.00,16,72.73,11
2016-12-28,50.00,8,25.00,4,0.00,2
2016-12-29,72.22,18,66.67,15,58.33,12
2016-12-30,50.00,10,42.86,7,50.00,4
2016-12-31,66.67,6,66.67,6,60.00,5
2017-01-01,0.00,2,0.00,2,0.00,1
2017-01-02,76.92,13,72.73,11,80.00,10
2017-01-03,65.00,20,56.25,16,44.44,9
2017-01-04,55.56,18,57.14,14,45.45,11
2017-01-05,70.83,24,68.42,19,72.73,11
2017-01-06,61.54,13,60.00,10,62.50,8
2017-01-07,50.00,2,50.00,2,50.00,2
2017-01-08,100.00,6,100.00,5,100.00,5
2017-01-09,49.02,51,45.95,37,43.48,23
2017-01-10,50.00,26,50.00,16,40.00,10
2017-01-11,43.75,16,45.45,11,33.33,3
2017-01-12,72.22,18,72.73,11,33.33,3
