Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,21.69,83,15.15,66,10.71,56
2016-11-02,18.48,92,9.09,77,5.71,70
2016-11-03,17.71,96,12.35,81,6.15,65
2016-11-04,21.95,82,14.29,63,5.45,55
2016-11-05,39.39,33,37.93,29,29.17,24
2016-11-06,17.65,34,26.09,23,11.76,17
2016-11-07,33.33,129,26.47,102,14.08,71
2016-11-08,30.77,78,25.45,55,19.15,47
2016-11-09,32.01,378,24.92,305,14.16,226
2016-11-10,36.08,194,31.25,144,21.57,102
2016-11-11,29.76,84,23.44,64,12.00,50
2016-11-12,38.71,31,27.27,22,29.41,17
2016-11-13,32.00,25,30.00,20,18.75,16
2016-11-14,41.12,107,36.36,77,27.45,51
2016-11-15,44.44,81,37.04,54,28.57,42
2016-11-16,21.54,65,12.50,56,4.76,42
2016-11-17,25.00,76,20.63,63,14.58,48
2016-11-18,22.03,59,16.67,48,10.00,40
2016-11-19,38.46,13,25.00,8,14.29,7
2016-11-20,28.57,28,21.74,23,10.53,19
2016-11-21,28.09,89,25.71,70,15.09,53
2016-11-22,34.92,126,28.87,97,18.99,79
2016-11-23,29.36,109,25.64,78,18.33,60
2016-11-24,21.43,28,14.29,21,11.11,18
2016-11-25,30.51,59,24.49,49,8.82,34
2016-11-26,26.09,23,16.67,18,14.29,14
2016-11-27,25.00,12,27.27,11,12.50,8
2016-11-28,24.05,79,15.38,65,5.77,52
2016-11-29,33.33,66,25.00,56,13.64,44
2016-11-30,30.95,84,19.67,61,12.24,49
2016-12-01,27.17,92,20.55,73,9.26,54
2016-12-02,18.18,66,13.46,52,4.76,42
2016-12-03,40.91,22,37.50,16,35.71,14
2016-12-04,9.68,31,7.14,28,4.00,25
2016-12-05,36.71,79,31.67,60,22.22,45
2016-12-06,22.08,77,13.79,58,8.33,48
2016-12-07,34.39,157,27.97,118,23.60,89
2016-12-08,25.20,123,15.22,92,8.82,68
2016-12-09,22.46,138,12.87,101,3.90,77
2016-12-10,15.25,59,12.24,49,7.32,41
2016-12-11,25.00,52,24.39,41,11.11,27
2016-12-12,31.68,101,29.17,72,17.02,47
2016-12-13,33.67,199,27.63,152,14.42,104
2016-12-14,24.91,265,17.28,191,8.21,134
2016-12-15,24.00,150,15.38,117,8.89,90
2016-12-16,29.00,100,24.68,77,16.33,49
2016-12-17,41.03,39,34.38,32,20.83,24
2016-12-18,24.00,25,20.00,20,6.25,16
2016-12-19,26.67,90,23.19,69,8.51,47
2016-12-20,30.67,225,17.95,156,11.21,116
2016-12-21,23.20,194,14.19,148,9.32,118
2016-12-22,26.22,164,17.24,116,11.90,84
2016-12-23,29.41,85,20.59,68,12.73,55
2016-12-24,58.62,29,53.85,26,52.17,23
2016-12-25,11.11,9,0.00,8,0.00,8
2016-12-26,17.65,17,7.14,14,7.69,13
2016-12-27,23.47,98,21.52,79,15.15,66
2016-12-28,28.49,172,21.32,136,11.65,103
2016-12-29,20.15,134,11.93,109,5.95,84
2016-12-30,19.51,123,11.32,106,3.53,85
2016-12-31,52.17,23,50.00,16,46.67,15
2017-01-01,55.00,20,50.00,16,33.33,12
2017-01-02,19.51,41,9.38,32,4.17,24
2017-01-03,23.49,149,13.82,123,7.48,107
2017-01-04,25.00,100,15.00,80,7.69,65
2017-01-05,22.45,98,14.86,74,9.52,63
2017-01-06,24.59,370,15.20,250,8.72,172
2017-01-07,31.25,48,22.86,35,8.00,25
2017-01-08,30.95,42,20.00,30,0.00,21
2017-01-09,25.42,118,20.00,100,10.00,80
2017-01-10,29.17,120,17.05,88,16.42,67
2017-01-11,34.48,203,25.66,152,20.49,122
2017-01-12,28.21,195,19.44,144,13.01,123
2017-01-13,18.18,121,14.42,104,7.32,82
2017-01-14,15.79,19,17.65,17,7.14,14
2017-01-15,11.11,27,4.17,24,4.76,21
2017-01-16,18.06,72,17.19,64,4.17,48
2017-01-17,14.73,129,6.86,102,4.60,87
2017-01-18,12.35,81,12.12,66,5.66,53
2017-01-19,19.33,150,11.81,127,6.19,97
2017-01-20,21.43,126,17.59,108,9.64,83
2017-01-21,18.52,27,17.39,23,18.18,22
2017-01-22,24.32,37,18.18,33,11.11,27
2017-01-23,23.97,121,17.24,87,12.68,71
2017-01-24,23.72,156,16.39,122,11.46,96
2017-01-25,33.24,340,24.89,237,15.48,155
2017-01-26,34.81,158,25.69,109,17.50,80
2017-01-27,33.61,119,20.00,85,12.31,65
2017-01-28,31.71,41,28.57,35,24.14,29
2017-01-29,19.51,41,11.76,34,9.38,32
2017-01-30,25.15,167,16.13,124,7.61,92
2017-01-31,24.84,157,19.83,121,11.46,96
2017-02-01,28.70,108,19.51,82,11.48,61
2017-02-02,28.06,139,22.22,108,8.64,81
2017-02-03,23.12,160,20.97,124,14.29,98
2017-02-04,30.77,39,22.58,31,20.00,25
2017-02-05,20.93,43,13.51,37,12.50,32
2017-02-06,22.37,76,11.29,62,8.51,47
2017-02-07,27.52,109,20.24,84,13.43,67
2017-02-08,24.74,97,15.58,77,9.68,62
2017-02-09,29.63,108,24.71,85,22.41,58
2017-02-10,31.43,140,25.47,106,23.75,80
2017-02-11,25.81,31,12.00,25,8.70,23
2017-02-12,21.88,32,17.86,28,8.33,24
2017-02-13,31.28,179,27.86,140,13.83,94
2017-02-14,26.25,160,20.93,129,12.37,97
2017-02-15,27.54,207,23.57,157,17.50,120
2017-02-16,22.86,140,15.79,114,11.83,93
2017-02-17,26.45,121,21.65,97,19.48,77
2017-02-18,44.00,50,41.46,41,32.35,34
2017-02-19,31.25,48,14.71,34,8.70,23
2017-02-20,42.50,40,40.54,37,41.94,31
2017-02-21,40.67,150,33.33,117,29.47,95
2017-02-22,37.09,151,29.75,121,25.56,90
2017-02-23,32.93,167,24.00,125,19.79,96
2017-02-24,31.85,157,23.28,116,14.44,90
2017-02-25,30.00,50,25.58,43,20.51,39
