Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,55.00,20,57.14,14,72.73,11
2016-11-02,58.33,12,50.00,10,55.56,9
2016-11-03,58.82,17,63.64,11,71.43,7
2016-11-04,47.62,21,40.00,15,41.67,12
2016-11-05,70.00,10,66.67,9,62.50,8
2016-11-06,57.14,7,60.00,5,75.00,4
2016-11-07,65.38,26,76.47,17,78.57,14
2016-11-08,57.14,14,63.64,11,62.50,8
2016-11-09,44.00,25,45.00,20,58.33,12
2016-11-10,72.73,11,66.67,9,66.67,6
2016-11-11,70.00,10,77.78,9,85.71,7
2016-11-12,62.50,8,71.43,7,60.00,5
2016-11-13,71.43,7,60.00,5,50.00,4
2016-11-14,58.82,17,50.00,12,71.43,7
2016-11-15,72.00,25,73.33,15,60.00,10
2016-11-16,48.00,25,35.29,17,15.38,13
2016-11-17,47.62,21,50.00,16,45.45,11
2016-11-18,66.67,21,58.82,17,58.33,12
2016-11-19,75.00,8,75.00,8,83.33,6
2016-11-20,40.00,5,50.00,2,0.00,1
2016-11-21,56.52,23,73.33,15,66.67,12
2016-11-22,77.27,22,78.95,19,66.67,12
2016-11-23,56.25,16,58.33,12,62.50,8
2016-11-24,70.00,10,66.67,9,62.50,8
2016-11-25,70.00,10,85.71,7,100.00,4
2016-11-26,83.33,6,83.33,6,75.00,4
2016-11-27,100.00,5,100.00,4,100.00,3
2016-11-28,70.83,24,70.00,20,68.75,16
2016-11-29,44.83,29,47.83,23,43.75,16
2016-11-30,36.00,25,33.33,18,23.08,13
2016-12-01,45.95,37,32.14,28,27.78,18
2016-12-02,57.14,21,52.94,17,46.15,13
2016-12-03,90.91,11,88.89,9,85.71,7
2016-12-04,80.00,10,77.78,9,85.71,7
2016-12-05,55.17,58,47.83,46,45.16,31
2016-12-06,56.25,32,50.00,22,42.86,14
2016-12-07,54.17,24,50.00,20,47.06,17
2016-12-08,50.00,28,56.25,16,50.00,12
2016-12-09,48.28,29,38.10,21,35.29,17
2016-12-10,75.00,8,100.00,6,100.00,3
2016-12-11,87.50,8,87.50,8,66.67,3
2016-12-12,57.69,26,57.89,19,58.33,12
2016-12-13,75.00,12,72.73,11,66.67,6
2016-12-14,63.64,22,63.64,22,56.25,16
2016-12-15,71.43,14,66.67,12,75.00,8
2016-12-16,66.67,21,64.29,14,42.86,7
2016-12-17,100.00,8,100.00,8,100.00,5
2016-12-18,88.89,9,100.00,7,100.00,6
2016-12-19,63.64,11,62.50,8,71.43,7
2016-12-20,66.67,24,56.25,16,66.67,6
2016-12-21,61.90,21,66.67,18,66.67,12
2016-12-22,68.42,19,60.00,15,45.45,11
2016-12-23,38.46,13,33.33,12,40.00,10
2016-12-24,100.00,4,100.00,2,100.00,2
2016-12-25,-1,0,-1,0,-1,0
2016-12-26,75.00,4,75.00,4,75.00,4
2016-12-27,50.00,2,50.00,2,50.00,2
2016-12-28,66.67,18,40.00,10,50.00,4
2016-12-29,50.00,8,42.86,7,33.33,6
2016-12-30,55.56,9,33.33,6,25.00,4
2016-12-31,75.00,4,50.00,2,100.00,1
2017-01-01,20.00,5,100.00,1,100.00,1
2017-01-02,61.54,13,62.50,8,83.33,6
2017-01-03,40.00,50,41.03,39,30.77,26
2017-01-04,32.26,31,18.18,22,11.76,17
2017-01-05,27.78,36,42.86,14,30.00,10
2017-01-06,55.26,38,40.74,27,35.00,20
2017-01-07,100.00,5,100.00,3,100.00,3
2017-01-08,25.00,4,25.00,4,0.00,1
2017-01-09,46.00,50,37.50,40,36.67,30
2017-01-10,72.73,22,70.59,17,66.67,9
2017-01-11,53.85,26,38.46,13,37.50,8
2017-01-12,40.00,35,35.71,28,15.79,19
2017-01-13,69.57,23,53.85,13,25.00,4
2017-01-14,75.00,4,75.00,4,100.00,3
