Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,30.30,33,25.81,31,18.52,27
2016-11-02,28.85,52,21.62,37,13.79,29
2016-11-03,34.62,52,23.08,39,21.74,23
2016-11-04,20.00,40,10.71,28,8.70,23
2016-11-05,27.27,11,25.00,8,20.00,5
2016-11-06,50.00,2,50.00,2,50.00,2
2016-11-07,27.66,47,16.67,36,7.69,26
2016-11-08,22.73,44,21.62,37,11.54,26
2016-11-09,23.46,81,11.29,62,11.11,54
2016-11-10,22.64,53,19.15,47,3.03,33
2016-11-11,44.74,38,37.50,32,27.27,22
2016-11-12,0.00,5,0.00,4,0.00,4
2016-11-13,25.00,8,14.29,7,14.29,7
2016-11-14,54.55,22,43.75,16,20.00,10
2016-11-15,48.39,31,45.83,24,33.33,18
2016-11-16,30.77,26,23.81,21,18.75,16
2016-11-17,18.18,33,13.04,23,0.00,11
2016-11-18,43.24,37,38.46,26,27.78,18
2016-11-19,100.00,3,100.00,3,100.00,2
2016-11-20,22.22,9,14.29,7,0.00,6
2016-11-21,51.22,41,50.00,34,42.11,19
2016-11-22,30.95,42,26.67,30,15.79,19
2016-11-23,37.50,24,25.00,16,20.00,15
2016-11-24,25.00,12,25.00,12,11.11,9
2016-11-25,31.25,16,15.38,13,9.09,11
2016-11-26,-1,0,-1,0,-1,0
2016-11-27,75.00,4,50.00,2,100.00,1
2016-11-28,33.33,21,33.33,21,14.29,14
2016-11-29,32.00,25,40.00,20,20.00,15
2016-11-30,20.00,35,17.24,29,16.00,25
2016-12-01,16.22,37,9.68,31,0.00,24
2016-12-02,19.05,21,6.67,15,0.00,12
2016-12-03,0.00,6,0.00,5,0.00,5
2016-12-04,40.00,5,25.00,4,0.00,3
2016-12-05,29.41,34,26.92,26,26.32,19
2016-12-06,35.29,17,31.25,16,20.00,10
2016-12-07,22.86,35,12.00,25,14.29,21
2016-12-08,29.17,24,18.75,16,16.67,12
2016-12-09,27.59,29,21.05,19,23.08,13
2016-12-10,0.00,2,0.00,2,0.00,2
2016-12-11,41.67,12,36.36,11,25.00,8
2016-12-12,45.83,24,44.44,18,50.00,14
2016-12-13,55.56,36,53.57,28,47.37,19
2016-12-14,22.22,27,12.50,24,0.00,18
2016-12-15,28.00,25,16.67,18,16.67,12
2016-12-16,33.33,18,30.77,13,0.00,8
2016-12-17,100.00,1,-1,0,-1,0
2016-12-18,50.00,4,50.00,2,0.00,1
2016-12-19,29.41,17,21.43,14,20.00,10
2016-12-20,40.00,15,33.33,12,28.57,7
2016-12-21,10.87,46,8.11,37,2.94,34
2016-12-22,4.00,25,0.00,23,0.00,22
2016-12-23,25.00,36,10.71,28,11.11,27
2016-12-24,-1,0,-1,0,-1,0
2016-12-25,100.00,1,100.00,1,100.00,1
2016-12-26,0.00,1,0.00,1,0.00,1
2016-12-27,26.19,42,26.83,41,20.59,34
2016-12-28,20.69,58,19.23,52,9.30,43
2016-12-29,7.50,40,7.69,39,5.71,35
2016-12-30,19.44,36,13.33,30,4.17,24
2016-12-31,33.33,3,0.00,2,0.00,1
2017-01-01,22.22,9,33.33,6,25.00,4
2017-01-02,16.67,6,0.00,4,0.00,2
