Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,38.18,110,29.63,81,18.97,58
2016-11-02,34.38,64,32.14,56,30.77,39
2016-11-03,40.00,60,31.82,44,31.58,38
2016-11-04,35.48,31,27.27,22,23.53,17
2016-11-05,57.14,14,63.64,11,66.67,9
2016-11-06,42.86,7,50.00,6,75.00,4
2016-11-07,64.71,34,62.07,29,52.94,17
2016-11-08,52.94,17,45.45,11,44.44,9
2016-11-09,56.52,23,57.89,19,60.00,10
2016-11-10,40.91,22,37.50,16,25.00,12
2016-11-11,56.25,32,57.69,26,66.67,15
2016-11-12,100.00,8,100.00,5,100.00,5
2016-11-13,75.00,8,66.67,6,80.00,5
2016-11-14,48.15,27,40.91,22,36.84,19
2016-11-15,51.02,49,50.00,36,43.48,23
2016-11-16,48.57,35,40.00,25,44.44,18
2016-11-17,59.18,49,64.86,37,61.54,26
2016-11-18,53.97,63,41.03,39,31.03,29
2016-11-19,55.56,9,42.86,7,60.00,5
2016-11-20,53.85,13,53.85,13,53.85,13
2016-11-21,55.56,36,55.17,29,37.50,16
2016-11-22,60.00,35,66.67,24,60.00,15
2016-11-23,78.95,19,66.67,12,50.00,8
2016-11-24,75.00,8,71.43,7,71.43,7
2016-11-25,70.37,27,70.00,20,71.43,14
2016-11-26,62.50,8,57.14,7,50.00,6
2016-11-27,86.67,15,80.00,10,75.00,8
2016-11-28,47.62,42,32.00,25,26.32,19
2016-11-29,37.78,45,36.11,36,37.04,27
2016-11-30,50.94,53,54.05,37,52.38,21
2016-12-01,43.08,65,37.74,53,29.73,37
2016-12-02,50.00,38,47.06,34,43.48,23
2016-12-03,40.00,15,30.77,13,44.44,9
2016-12-04,66.67,12,87.50,8,83.33,6
2016-12-05,54.60,163,48.78,123,37.80,82
2016-12-06,44.94,158,36.04,111,35.62,73
2016-12-07,45.45,88,40.32,62,26.19,42
2016-12-08,40.91,66,41.86,43,26.67,30
2016-12-09,45.83,48,43.33,30,30.00,20
2016-12-10,66.67,15,71.43,14,75.00,12
2016-12-11,70.83,24,68.42,19,80.00,15
2016-12-12,50.70,71,49.09,55,50.00,36
2016-12-13,54.55,88,51.47,68,50.98,51
2016-12-14,63.79,58,65.31,49,63.16,38
2016-12-15,55.56,63,57.78,45,61.76,34
2016-12-16,59.26,81,64.29,56,65.71,35
2016-12-17,65.00,60,69.77,43,66.67,33
2016-12-18,63.41,41,66.67,30,70.83,24
2016-12-19,52.15,209,54.68,139,46.15,91
2016-12-20,48.38,1263,43.85,805,28.12,448
2016-12-21,47.50,680,41.90,463,27.56,283
2016-12-22,54.33,127,45.57,79,35.85,53
2016-12-23,47.95,73,46.00,50,40.00,30
2016-12-24,76.47,17,78.57,14,80.00,10
2016-12-25,83.33,12,81.82,11,87.50,8
2016-12-26,73.53,34,73.08,26,71.43,14
2016-12-27,48.35,91,47.37,57,45.71,35
2016-12-28,39.74,78,39.62,53,28.21,39
2016-12-29,43.28,67,38.64,44,40.74,27
2016-12-30,40.58,69,35.42,48,33.33,30
2016-12-31,54.17,24,52.63,19,50.00,14
2017-01-01,86.67,15,90.00,10,87.50,8
2017-01-02,68.00,25,66.67,18,66.67,15
2017-01-03,56.82,88,49.18,61,43.59,39
2017-01-04,49.51,103,44.44,63,34.78,46
2017-01-05,47.62,63,34.78,46,29.41,34
2017-01-06,63.29,79,56.90,58,54.29,35
2017-01-07,65.00,20,61.54,13,50.00,10
2017-01-08,60.00,20,64.71,17,57.14,14
2017-01-09,52.63,38,50.00,30,36.36,22
2017-01-10,65.52,29,62.96,27,61.11,18
2017-01-11,47.62,42,48.39,31,50.00,22
2017-01-12,55.56,36,48.28,29,41.67,24
2017-01-13,59.38,32,59.09,22,46.15,13
