Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,29.23,496,20.50,400,9.59,292
2016-11-02,25.92,517,18.14,419,9.74,308
2016-11-03,29.22,397,18.91,312,11.74,230
2016-11-04,28.38,451,18.61,360,9.43,265
2016-11-05,36.36,165,30.15,136,18.09,94
2016-11-06,25.42,177,16.78,143,6.06,99
2016-11-07,34.32,472,25.21,361,14.89,262
2016-11-08,34.96,369,27.34,278,17.55,188
2016-11-09,29.44,873,19.49,667,10.15,473
2016-11-10,28.79,389,21.07,318,12.13,239
2016-11-11,29.97,307,25.00,248,15.47,181
2016-11-12,30.68,88,31.34,67,31.11,45
2016-11-13,19.23,78,16.18,68,13.21,53
2016-11-14,28.47,281,23.01,226,12.12,165
2016-11-15,32.17,258,24.62,199,16.11,149
2016-11-16,33.00,303,24.17,240,12.28,171
2016-11-17,31.12,286,24.55,220,15.03,153
2016-11-18,28.15,302,17.39,230,9.94,171
2016-11-19,33.78,74,31.58,57,24.39,41
2016-11-20,31.82,110,27.06,85,20.00,60
2016-11-21,33.85,325,28.03,264,21.08,185
2016-11-22,33.13,329,23.83,256,15.23,197
2016-11-23,32.46,268,25.74,202,16.22,148
2016-11-24,31.00,100,24.39,82,15.38,65
2016-11-25,29.73,185,23.13,147,9.90,101
2016-11-26,32.47,77,26.79,56,15.38,39
2016-11-27,39.53,86,34.29,70,29.17,48
2016-11-28,36.26,273,29.91,214,23.27,159
2016-11-29,30.42,286,25.51,243,14.67,184
2016-11-30,41.71,398,35.91,323,19.63,214
2016-12-01,29.10,323,21.88,256,9.89,182
2016-12-02,34.14,290,24.23,227,10.43,163
2016-12-03,23.53,85,12.86,70,9.26,54
2016-12-04,38.52,122,37.74,106,28.38,74
2016-12-05,39.49,314,33.61,244,21.89,169
2016-12-06,34.58,240,28.57,189,18.57,140
2016-12-07,38.61,505,28.57,392,18.48,276
2016-12-08,31.54,390,24.75,299,14.22,211
2016-12-09,37.61,436,32.24,335,15.02,213
2016-12-10,22.12,113,15.96,94,14.47,76
2016-12-11,40.00,130,37.62,101,22.22,63
2016-12-12,38.76,356,33.45,293,13.23,189
2016-12-13,28.81,361,23.05,282,12.38,202
2016-12-14,33.68,481,25.53,380,14.71,272
2016-12-15,27.21,305,19.40,232,10.59,170
2016-12-16,40.26,308,25.97,231,10.20,147
2016-12-17,32.86,70,24.07,54,20.00,40
2016-12-18,30.12,83,25.00,72,16.07,56
2016-12-19,34.04,282,28.17,213,14.89,141
2016-12-20,42.74,248,34.90,192,16.10,118
2016-12-21,37.07,232,29.21,178,15.32,124
2016-12-22,36.64,292,30.40,227,14.69,143
2016-12-23,34.23,222,25.90,166,17.21,122
2016-12-24,44.26,61,36.17,47,43.59,39
2016-12-25,33.33,42,23.33,30,11.11,18
2016-12-26,29.41,51,23.08,39,16.67,30
2016-12-27,47.57,206,42.04,157,17.44,86
2016-12-28,34.10,305,28.24,255,13.48,178
2016-12-29,32.97,273,22.58,217,11.80,161
2016-12-30,23.25,271,14.16,219,8.99,178
2016-12-31,31.48,54,25.53,47,20.00,35
2017-01-01,35.71,56,25.58,43,13.79,29
2017-01-02,24.73,93,16.00,75,10.17,59
2017-01-03,34.88,344,23.17,259,6.36,173
2017-01-04,38.93,280,33.04,227,21.47,163
2017-01-05,41.29,310,33.06,242,13.16,152
2017-01-06,39.67,305,31.76,233,18.83,154
2017-01-07,36.67,90,30.99,71,16.33,49
2017-01-08,32.50,80,28.57,63,22.73,44
2017-01-09,35.57,253,30.14,209,12.06,141
2017-01-10,36.80,269,28.99,207,14.79,142
2017-01-11,40.41,391,32.67,300,12.57,183
2017-01-12,35.56,464,26.93,349,12.44,225
2017-01-13,35.51,276,29.33,225,14.94,154
2017-01-14,18.18,66,12.24,49,5.41,37
2017-01-15,39.13,69,29.82,57,27.03,37
2017-01-16,31.75,126,30.97,113,25.84,89
2017-01-17,40.53,375,35.00,300,31.44,229
2017-01-18,27.64,199,21.21,165,15.75,127
2017-01-19,26.71,292,18.07,238,8.33,180
2017-01-20,39.75,317,37.60,250,21.82,165
2017-01-21,35.24,105,27.27,77,19.30,57
2017-01-22,39.45,109,26.58,79,12.00,50
2017-01-23,37.43,342,30.97,268,9.09,165
2017-01-24,32.90,389,24.67,300,13.11,206
2017-01-25,40.98,427,35.78,341,24.22,223
2017-01-26,34.78,276,26.94,219,19.65,173
2017-01-27,30.43,207,22.29,166,18.26,115
2017-01-28,26.96,115,19.78,91,15.71,70
2017-01-29,31.13,106,28.57,84,22.22,63
2017-01-30,39.64,555,32.79,433,17.79,281
2017-01-31,37.56,418,27.16,313,14.29,231
2017-02-01,36.08,352,26.91,275,13.47,193
2017-02-02,38.83,291,29.33,208,13.19,144
2017-02-03,30.30,297,19.57,230,12.65,166
2017-02-04,25.93,81,19.70,66,14.29,49
2017-02-05,28.24,85,26.39,72,18.64,59
2017-02-06,31.54,241,24.49,196,12.23,139
2017-02-07,36.10,277,29.03,217,18.24,159
2017-02-08,31.35,252,24.39,205,11.72,145
2017-02-09,33.15,365,27.40,292,17.33,202
2017-02-10,36.07,305,28.35,254,18.68,182
2017-02-11,33.04,112,27.27,88,25.42,59
2017-02-12,34.88,86,30.99,71,19.57,46
2017-02-13,38.48,434,31.91,329,17.37,213
2017-02-14,29.38,405,21.05,323,10.92,238
2017-02-15,32.56,519,23.68,397,9.57,282
2017-02-16,30.08,379,21.02,295,11.79,229
2017-02-17,27.80,313,18.70,246,13.44,186
2017-02-18,40.86,93,35.62,73,25.00,52
2017-02-19,28.57,105,20.00,80,11.11,63
2017-02-20,35.05,97,28.57,77,27.42,62
2017-02-21,27.88,373,22.15,316,15.85,246
2017-02-22,28.57,343,20.65,276,14.83,209
2017-02-23,25.58,301,17.01,241,9.39,181
2017-02-24,27.90,362,18.18,286,9.81,214
