Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,15.10,404,5.92,338,3.34,299
2016-11-02,12.84,436,6.63,392,2.66,338
2016-11-03,18.54,302,8.43,249,4.23,213
2016-11-04,15.92,628,8.26,545,4.72,466
2016-11-05,20.63,63,10.91,55,8.33,48
2016-11-06,29.27,41,17.65,34,20.69,29
2016-11-07,23.56,225,13.16,190,7.98,163
2016-11-08,23.50,200,14.94,154,11.54,130
2016-11-09,19.29,539,9.82,448,5.11,372
2016-11-10,18.66,461,10.16,384,5.26,323
2016-11-11,24.26,272,13.18,220,8.94,179
2016-11-12,19.35,62,15.09,53,11.11,45
2016-11-13,40.68,59,28.89,45,21.88,32
2016-11-14,19.71,487,11.22,410,7.18,348
2016-11-15,20.44,225,12.11,190,8.38,167
2016-11-16,17.33,277,9.79,235,7.33,191
2016-11-17,16.55,695,8.62,603,2.74,474
2016-11-18,14.63,417,7.24,359,2.70,296
2016-11-19,24.74,97,14.12,85,11.27,71
2016-11-20,20.37,54,14.89,47,9.52,42
2016-11-21,18.56,194,10.24,166,3.70,135
2016-11-22,20.94,339,12.37,283,4.80,229
2016-11-23,15.81,329,9.51,284,3.91,230
2016-11-24,16.90,71,8.06,62,1.92,52
2016-11-25,14.76,210,7.98,188,3.85,156
2016-11-26,17.65,68,12.07,58,11.32,53
2016-11-27,31.37,51,20.93,43,21.05,38
2016-11-28,13.15,251,8.11,222,3.65,192
2016-11-29,18.92,444,10.70,383,5.92,321
2016-11-30,19.73,294,11.42,254,6.10,213
2016-12-01,15.59,558,9.15,481,3.71,404
2016-12-02,16.10,441,8.40,381,4.53,331
2016-12-03,16.67,102,8.05,87,6.33,79
2016-12-04,15.79,76,9.09,66,6.12,49
2016-12-05,22.48,347,14.24,288,8.03,249
2016-12-06,17.45,321,10.11,277,5.26,228
2016-12-07,24.10,415,16.19,352,12.00,300
2016-12-08,20.57,209,15.43,175,6.57,137
2016-12-09,19.15,188,14.01,157,6.87,131
2016-12-10,27.69,65,21.05,57,14.29,42
2016-12-11,23.64,55,13.33,45,10.53,38
2016-12-12,23.72,215,14.53,179,7.75,142
2016-12-13,32.04,646,22.82,517,12.00,400
2016-12-14,29.75,511,21.28,423,14.15,325
2016-12-15,21.64,305,14.29,259,9.09,209
2016-12-16,26.16,279,20.94,234,14.92,181
2016-12-17,36.21,58,26.09,46,25.00,36
2016-12-18,18.42,38,16.67,36,6.90,29
2016-12-19,31.03,232,20.11,184,13.67,139
2016-12-20,23.80,395,17.21,337,9.78,276
2016-12-21,18.55,345,12.08,298,8.47,248
2016-12-22,21.35,192,15.24,164,8.96,134
2016-12-23,21.63,245,14.78,203,7.05,156
2016-12-24,22.54,71,17.46,63,11.11,54
2016-12-25,20.00,35,13.79,29,5.26,19
2016-12-26,33.33,36,33.33,30,26.92,26
2016-12-27,19.11,497,9.73,411,4.99,341
2016-12-28,20.34,295,11.65,249,7.18,195
2016-12-29,22.03,236,16.02,206,6.36,173
2016-12-30,16.73,281,7.44,242,4.33,208
2016-12-31,31.71,41,19.35,31,20.83,24
2017-01-01,26.19,42,21.05,38,21.43,28
2017-01-02,20.00,70,16.39,61,9.43,53
2017-01-03,19.50,482,11.25,409,6.90,348
2017-01-04,23.67,959,13.44,759,7.19,626
2017-01-05,18.87,477,11.88,404,5.18,328
2017-01-06,28.66,335,20.73,275,14.75,217
2017-01-07,23.30,103,9.64,83,4.69,64
2017-01-08,15.79,95,11.11,81,8.57,70
2017-01-09,18.48,330,9.12,274,3.56,225
2017-01-10,19.80,293,13.44,253,7.77,206
2017-01-11,18.83,223,8.79,182,2.19,137
2017-01-12,14.86,222,10.20,196,7.45,161
2017-01-13,24.11,531,13.99,436,7.62,341
2017-01-14,27.03,111,21.88,96,13.51,74
2017-01-15,24.14,58,17.02,47,11.11,36
2017-01-16,30.56,72,27.12,59,17.02,47
2017-01-17,22.58,248,16.67,216,12.43,177
2017-01-18,16.93,254,9.55,220,4.52,177
2017-01-19,18.17,688,10.14,582,6.88,494
2017-01-20,23.83,214,17.22,180,9.86,142
2017-01-21,26.19,42,18.92,37,16.67,30
2017-01-22,22.03,59,15.09,53,13.04,46
2017-01-23,27.64,351,19.93,296,10.34,232
2017-01-24,21.12,516,12.44,426,7.12,351
2017-01-25,23.46,503,13.55,406,6.62,317
2017-01-26,23.84,281,14.47,235,7.98,188
2017-01-27,19.61,515,11.52,434,5.10,353
2017-01-28,20.97,62,13.21,53,9.30,43
2017-01-29,25.45,55,23.91,46,20.59,34
2017-01-30,24.29,247,16.10,205,11.18,161
2017-01-31,24.90,249,15.84,202,7.19,153
2017-02-01,23.56,225,14.81,189,8.67,150
2017-02-02,18.95,190,13.12,160,11.02,127
2017-02-03,32.92,161,25.76,132,20.00,100
2017-02-04,29.79,47,29.27,41,28.12,32
2017-02-05,23.33,60,16.00,50,16.28,43
2017-02-06,22.45,294,15.13,238,6.38,188
2017-02-07,27.01,348,14.23,281,7.89,228
2017-02-08,27.38,588,17.58,472,10.91,385
2017-02-09,22.35,1266,13.45,1063,7.96,879
2017-02-10,24.25,503,15.02,426,8.93,336
2017-02-11,26.14,88,16.88,77,14.06,64
2017-02-12,28.57,105,17.65,85,11.76,68
2017-02-13,25.20,1016,16.04,823,8.28,640
2017-02-14,22.30,982,13.67,790,6.91,608
2017-02-15,20.30,665,11.79,560,6.77,443
2017-02-16,17.71,1316,9.29,1109,3.96,884
2017-02-17,21.84,1351,11.42,1086,6.31,872
2017-02-18,27.37,179,21.09,147,18.75,112
2017-02-19,24.88,201,18.67,166,13.08,130
2017-02-20,30.10,206,20.61,165,14.62,130
2017-02-21,28.74,748,19.28,586,12.69,457
2017-02-22,17.72,2821,9.15,2372,4.21,1947
2017-02-23,18.27,2260,9.92,1886,4.27,1545
2017-02-24,16.71,1035,9.76,891,4.84,744
2017-02-25,16.49,97,5.19,77,2.94,68
2017-02-26,17.65,85,10.67,75,3.33,60
2017-02-27,15.17,1345,8.08,1164,2.94,986
2017-02-28,19.88,649,11.33,556,4.02,448
2017-03-01,17.41,741,10.08,625,5.54,523
2017-03-02,16.46,559,9.15,492,4.58,415
2017-03-03,16.28,522,9.31,451,5.31,377
2017-03-04,17.14,105,10.00,90,5.33,75
2017-03-05,14.47,76,11.27,71,8.47,59
2017-03-06,17.23,325,10.26,273,4.39,228
2017-03-07,15.01,453,8.08,396,4.26,329
2017-03-08,14.89,618,8.08,532,4.60,435
2017-03-09,14.65,628,8.41,559,4.03,472
2017-03-10,18.28,383,9.69,320,7.78,270
2017-03-11,24.69,81,9.68,62,3.70,54
2017-03-12,17.07,123,10.81,111,5.38,93
2017-03-13,22.37,456,11.23,374,6.65,316
2017-03-14,18.42,1167,9.09,979,4.83,828
2017-03-15,19.86,1294,9.12,1064,4.69,874
2017-03-16,20.08,1031,12.61,872,7.02,726
2017-03-17,19.03,599,10.89,505,5.16,426
2017-03-18,22.03,118,11.46,96,5.06,79
2017-03-19,16.54,127,13.27,113,8.08,99
2017-03-20,16.63,421,8.74,366,5.68,317
2017-03-21,18.61,634,10.80,528,5.58,448
2017-03-22,20.00,325,12.59,278,7.20,236
2017-03-23,16.89,367,10.06,318,7.89,266
2017-03-24,18.36,561,11.34,476,6.30,397
2017-03-25,25.51,98,12.99,77,5.88,68
2017-03-26,15.12,86,9.86,71,3.28,61
2017-03-27,22.54,590,14.14,488,7.73,388
2017-03-28,22.34,1173,14.45,983,7.58,805
2017-03-29,19.24,608,11.37,510,7.55,424
2017-03-30,23.52,727,15.24,597,8.96,491
2017-03-31,23.88,515,15.78,431,8.29,350
2017-04-01,23.23,99,16.85,89,12.86,70
2017-04-02,25.00,208,18.89,180,8.70,138
2017-04-03,24.56,2642,14.81,2174,7.45,1732
2017-04-04,24.16,1941,15.18,1607,7.59,1292
2017-04-05,20.04,1367,10.65,1146,5.34,936
2017-04-06,18.22,1081,10.21,921,5.21,768
2017-04-07,22.08,856,13.44,707,7.79,578
2017-04-08,17.78,180,10.60,151,6.20,129
2017-04-09,14.88,215,11.29,186,7.50,160
2017-04-10,19.83,1664,11.66,1415,5.56,1151
2017-04-11,15.04,1469,7.65,1255,4.05,1063
2017-04-12,15.84,1919,6.91,1636,3.29,1397
2017-04-13,18.93,1780,9.68,1478,4.58,1244
2017-04-14,15.48,336,10.93,302,5.49,255
2017-04-15,15.69,204,9.25,173,5.96,151
2017-04-16,23.90,159,13.53,133,5.50,109
2017-04-17,19.29,762,12.10,661,6.44,559
2017-04-18,19.35,620,9.39,522,4.85,454
2017-04-19,18.97,638,12.14,527,5.24,439
2017-04-20,17.38,1168,10.26,1023,3.93,866
2017-04-21,16.83,820,10.72,709,5.23,574
2017-04-22,25.71,105,18.60,86,10.77,65
2017-04-23,16.31,141,8.26,121,4.00,100
2017-04-24,17.45,596,10.24,508,5.63,426
2017-04-25,19.92,793,11.50,661,5.91,541
2017-04-26,16.12,583,7.46,496,3.75,427
2017-04-27,17.64,567,9.59,490,4.57,416
2017-04-28,21.14,804,12.46,650,5.18,521
2017-04-29,15.71,261,7.83,217,4.89,184
2017-04-30,17.46,252,12.68,213,7.10,183
2017-05-01,20.55,1270,12.74,1083,7.52,864
2017-05-02,19.70,1061,10.81,888,6.54,734
2017-05-03,16.56,3429,7.51,2850,2.78,2340
2017-05-04,18.13,2753,8.83,2299,3.57,1903
2017-05-05,21.99,1505,13.61,1249,7.11,1013
2017-05-06,21.75,285,9.33,225,7.73,194
2017-05-07,21.65,194,12.34,154,6.15,130
2017-05-08,16.06,797,9.30,688,5.63,568
2017-05-09,23.42,999,15.99,838,9.10,670
2017-05-10,21.07,935,12.24,784,5.90,644
2017-05-11,19.34,910,11.72,768,6.64,633
2017-05-12,22.22,702,13.54,576,6.93,476
2017-05-13,17.05,176,11.26,151,7.94,126
2017-05-14,28.07,114,16.09,87,11.86,59
2017-05-15,21.77,1098,12.46,907,5.68,739
2017-05-16,19.31,554,11.06,470,5.79,397
2017-05-17,21.11,995,11.97,827,5.98,669
2017-05-18,20.05,733,10.95,603,4.59,501
2017-05-19,17.01,588,8.89,506,4.67,428
2017-05-20,16.55,145,12.40,129,8.11,111
2017-05-21,22.50,80,12.70,63,7.14,56
2017-05-22,16.85,635,9.75,554,4.78,460
2017-05-23,18.50,827,9.91,696,5.22,575
2017-05-24,20.47,762,11.31,628,5.88,527
2017-05-25,22.67,697,14.34,579,6.77,473
2017-05-26,22.97,1145,15.82,961,7.52,745
2017-05-27,19.05,168,12.23,139,9.57,115
2017-05-28,23.89,113,17.02,94,9.09,77
2017-05-29,25.00,152,17.32,127,12.15,107
2017-05-30,21.82,1228,13.39,1038,8.10,839
2017-05-31,22.27,1365,13.95,1118,7.34,885
2017-06-01,20.58,1302,10.43,1064,4.88,860
2017-06-02,19.79,874,12.16,732,6.91,593
2017-06-03,17.51,217,10.56,180,5.59,143
2017-06-04,22.60,146,18.03,122,13.00,100
2017-06-05,21.57,1029,12.82,858,5.97,687
2017-06-06,18.32,2265,11.47,1927,5.62,1585
2017-06-07,20.92,1324,12.75,1098,5.94,875
2017-06-08,18.62,1584,9.69,1321,4.63,1081
2017-06-09,18.46,2280,10.43,1937,5.03,1629
2017-06-10,18.15,248,10.95,201,5.99,167
2017-06-11,23.41,205,15.06,166,10.34,145
2017-06-12,20.50,1117,13.12,945,7.92,770
2017-06-13,19.40,1675,11.20,1420,5.20,1153
2017-06-14,18.33,1740,9.79,1461,4.56,1250
2017-06-15,21.75,1430,11.66,1175,6.39,954
2017-06-16,15.78,925,8.64,787,4.40,682
2017-06-17,24.18,153,15.75,127,14.56,103
2017-06-18,18.88,196,10.43,163,6.67,135
2017-06-19,18.42,1102,9.94,946,5.12,800
2017-06-20,18.87,1240,8.78,1037,3.04,856
2017-06-21,18.58,1028,10.71,878,5.44,754
2017-06-22,24.85,1292,14.88,1062,7.56,847
2017-06-23,20.78,1097,13.18,941,6.30,746
2017-06-24,21.39,187,12.26,155,5.56,126
2017-06-25,23.35,167,15.97,144,10.92,119
2017-06-26,22.65,808,14.68,681,8.41,571
2017-06-27,19.30,1150,10.61,952,4.75,800
2017-06-28,20.80,923,13.57,774,7.47,629
2017-06-29,18.47,1072,10.34,890,6.18,728
2017-06-30,17.59,830,9.85,711,5.96,621
2017-07-01,13.97,229,9.14,197,4.85,165
2017-07-02,12.42,298,7.31,260,3.62,221
2017-07-03,16.16,1999,8.61,1731,4.23,1420
2017-07-04,17.34,369,10.56,322,8.19,281
2017-07-05,16.41,3559,7.54,3011,2.64,2542
2017-07-06,16.72,4903,7.86,4149,2.77,3462
2017-07-07,16.75,3063,8.47,2587,3.53,2151
2017-07-08,16.87,326,8.63,278,4.17,240
2017-07-09,15.58,520,8.48,448,3.43,379
2017-07-10,17.50,2292,9.27,1942,4.28,1613
2017-07-11,19.75,1838,11.09,1551,4.82,1285
2017-07-12,18.70,1433,9.74,1211,4.59,1003
2017-07-13,15.81,1221,8.51,1058,3.77,901
2017-07-14,19.02,899,9.93,755,4.53,618
2017-07-15,24.10,195,14.65,157,10.77,130
2017-07-16,20.10,194,11.04,163,7.91,139
2017-07-17,17.35,1550,8.48,1297,3.32,1084
2017-07-18,22.04,971,13.07,796,6.13,652
2017-07-19,21.53,873,11.42,709,6.16,601
2017-07-20,21.40,958,12.03,790,6.83,644
