Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,64.71,306,66.42,268,67.21,244
2016-11-02,62.74,263,66.21,219,66.67,183
2016-11-03,64.29,280,63.79,243,64.59,209
2016-11-04,60.04,453,62.72,389,61.70,329
2016-11-05,59.42,308,59.55,267,58.08,229
2016-11-06,69.21,315,70.36,280,70.54,241
2016-11-07,62.86,315,62.68,276,62.98,235
2016-11-08,51.20,291,53.88,258,55.19,212
2016-11-09,66.15,325,67.93,290,65.62,256
2016-11-10,55.22,393,57.01,335,56.21,290
2016-11-11,61.88,320,66.18,275,64.02,239
2016-11-12,65.68,338,66.67,303,68.97,261
2016-11-13,62.29,297,61.30,261,62.01,229
2016-11-14,65.76,368,66.06,330,66.67,300
2016-11-15,59.24,368,59.49,311,60.08,248
2016-11-16,58.12,394,57.74,336,58.16,294
2016-11-17,59.27,329,58.98,295,56.63,249
2016-11-18,57.61,368,59.94,322,61.42,267
2016-11-19,77.88,1713,79.94,1565,81.86,1356
2016-11-20,66.76,683,68.21,604,68.50,527
2016-11-21,71.54,752,73.50,683,76.19,588
2016-11-22,62.19,402,63.45,342,63.82,293
2016-11-23,61.73,439,61.99,392,61.75,332
2016-11-24,58.06,465,60.67,389,60.49,329
2016-11-25,63.47,334,66.10,292,67.32,257
2016-11-26,67.69,390,69.32,352,69.36,297
2016-11-27,64.90,396,66.37,342,68.01,297
2016-11-28,62.90,407,63.61,371,65.02,323
2016-11-29,61.23,325,60.67,267,61.84,228
2016-11-30,64.08,387,66.77,328,66.67,273
2016-12-01,63.40,347,64.94,308,65.07,272
2016-12-02,66.67,402,67.14,353,68.67,300
2016-12-03,64.35,359,67.42,310,68.27,271
2016-12-04,60.16,374,60.61,330,61.82,296
2016-12-05,63.09,317,65.47,278,67.09,234
2016-12-06,76.58,555,78.23,496,79.42,447
2016-12-07,59.15,328,62.98,289,64.03,253
2016-12-08,62.96,548,62.88,493,63.99,436
2016-12-09,62.16,407,62.43,362,62.99,308
2016-12-10,62.01,408,60.18,329,58.54,287
2016-12-11,58.82,357,60.59,307,58.91,258
2016-12-12,54.83,352,55.14,321,54.61,271
2016-12-13,52.86,367,51.40,321,48.77,285
2016-12-14,60.15,404,57.72,324,57.65,281
2016-12-15,59.91,459,62.50,392,63.03,330
2016-12-16,60.95,402,67.09,316,67.88,274
2016-12-17,60.92,435,67.56,336,67.28,272
2016-12-18,66.23,453,71.51,372,75.41,305
2016-12-19,64.42,430,65.97,385,65.97,335
2016-12-20,68.00,400,68.35,316,70.08,264
2016-12-21,57.92,530,56.58,433,56.05,380
2016-12-22,63.82,434,64.91,379,64.76,332
2016-12-23,61.78,416,63.85,379,65.27,334
2016-12-24,60.84,452,63.57,387,65.94,323
2016-12-25,59.82,438,60.47,387,59.77,343
2016-12-26,68.13,386,66.04,318,69.09,275
2016-12-27,62.80,371,58.31,307,56.76,259
2016-12-28,65.69,443,64.77,352,65.54,296
2016-12-29,57.02,456,56.76,407,57.89,342
2016-12-30,58.59,425,58.75,383,58.51,323
2016-12-31,68.07,404,69.91,349,70.06,314
2017-01-01,68.69,428,71.09,384,71.86,334
2017-01-02,61.08,352,59.35,278,60.41,245
2017-01-03,62.83,304,62.12,264,64.13,223
2017-01-04,59.14,350,59.04,271,58.52,229
2017-01-05,67.74,93,68.42,76,70.00,60
2017-01-06,53.82,275,52.82,248,52.04,221
2017-01-07,63.19,307,62.59,270,63.90,241
2017-01-08,61.38,347,58.39,286,58.57,251
2017-01-09,58.63,336,55.80,276,53.91,230
2017-01-10,61.44,319,62.19,283,64.23,246
2017-01-11,67.76,304,65.86,249,66.82,211
2017-01-12,61.94,289,62.78,266,62.76,239
2017-01-13,52.70,370,50.00,324,48.78,287
2017-01-14,71.20,250,71.56,225,73.20,194
2017-01-15,65.09,318,64.23,260,63.96,222
2017-01-16,57.83,332,59.22,282,57.38,244
2017-01-17,62.65,324,65.48,281,65.35,228
2017-01-18,57.24,290,59.52,252,59.62,213
2017-01-19,66.14,316,67.27,278,68.27,249
2017-01-20,64.99,337,67.74,279,69.55,243
2017-01-21,82.45,2291,84.27,1666,85.86,1478
2017-01-22,76.55,2047,78.77,1686,80.51,1498
2017-01-23,74.02,1890,75.75,1637,77.05,1429
2017-01-24,77.91,2933,81.27,2413,84.41,2143
2017-01-25,78.56,3886,87.30,3322,88.91,3049
2017-01-26,54.46,4587,55.34,4062,54.16,3802
2017-01-27,86.15,787,86.88,709,87.02,655
2017-01-28,86.15,787,86.88,709,87.02,655
2017-01-29,86.15,787,86.88,709,87.02,655
2017-01-30,78.14,2420,79.88,2192,82.41,1984
2017-01-31,76.53,4112,80.07,3764,80.97,3489
2017-02-01,69.50,2233,76.69,1892,77.10,1681
2017-02-02,66.77,2371,71.87,2005,71.99,1792
2017-02-03,68.27,2736,69.96,2340,70.49,2077
2017-02-04,69.14,2236,70.08,1992,70.60,1847
2017-02-05,75.65,9774,78.12,8831,80.16,7783
2017-02-06,78.28,17598,79.26,16179,80.66,15132
2017-02-07,79.81,2942,83.59,2560,85.50,2289
2017-02-08,70.69,2562,76.79,2202,84.51,1840
2017-02-09,71.45,3836,72.76,3407,73.27,2709
2017-02-10,66.36,2699,68.13,2422,67.39,2125
2017-02-11,73.86,2200,76.08,1994,76.85,1745
2017-02-12,76.25,2893,87.21,2323,88.73,2059
2017-02-13,70.29,2652,71.55,2341,72.06,2069
2017-02-14,81.16,2867,83.98,2628,85.12,2440
2017-02-15,82.52,2586,86.03,2390,89.65,2155
2017-02-16,78.93,2591,82.65,2288,84.05,2081
2017-02-17,65.14,3001,66.91,2635,65.19,2304
2017-02-18,77.31,1983,82.23,1716,83.65,1370
2017-02-19,77.39,2083,79.59,1793,81.15,1618
2017-02-20,67.36,2690,69.55,2447,72.61,2070
