Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,57.71,525,59.78,465,61.22,392
2016-11-02,65.12,559,65.79,497,67.29,428
2016-11-03,60.60,599,61.85,540,63.68,468
2016-11-04,58.32,523,60.57,459,60.71,392
2016-11-05,58.17,514,57.56,450,59.32,381
2016-11-06,59.45,619,59.67,553,59.70,469
2016-11-07,57.83,581,57.90,525,58.10,432
2016-11-08,59.06,508,59.74,457,60.50,400
2016-11-09,59.31,580,59.69,516,59.47,454
2016-11-10,59.24,503,60.30,461,61.86,388
2016-11-11,63.44,465,64.56,412,67.32,358
2016-11-12,59.53,514,60.40,452,61.62,396
2016-11-13,64.30,731,64.07,654,64.94,559
2016-11-14,61.90,483,61.95,431,63.40,377
2016-11-15,61.19,505,62.56,454,63.43,402
2016-11-16,67.57,444,69.33,401,71.14,350
2016-11-17,58.87,248,60.63,221,61.05,190
2016-11-18,62.78,489,65.37,436,67.37,380
2016-11-19,58.29,537,58.42,481,60.64,409
2016-11-20,56.70,515,55.70,456,57.54,391
2016-11-21,57.86,515,58.80,466,59.27,410
2016-11-22,58.92,499,58.74,446,60.52,385
2016-11-23,53.08,471,52.73,421,55.49,364
2016-11-24,60.99,523,62.99,462,63.48,397
2016-11-25,60.57,629,61.94,578,62.38,505
2016-11-26,62.63,744,63.15,673,63.50,589
2016-11-27,59.43,742,59.31,666,61.39,588
2016-11-28,61.56,666,62.50,600,63.77,530
2016-11-29,68.48,717,69.31,655,70.85,597
2016-11-30,73.50,936,75.09,859,76.99,778
2016-12-01,58.49,624,60.25,556,61.86,485
2016-12-02,59.00,561,59.13,504,60.40,447
2016-12-03,62.59,679,63.22,609,64.52,513
2016-12-04,57.35,633,56.99,558,57.95,478
2016-12-05,61.54,546,61.78,484,62.96,432
2016-12-06,66.93,514,67.61,460,71.65,388
2016-12-07,57.93,542,58.04,479,60.48,420
2016-12-08,63.95,430,65.74,397,65.48,336
2016-12-09,63.49,504,64.64,461,66.17,405
2016-12-10,59.60,453,59.19,397,61.63,344
2016-12-11,53.42,307,52.96,270,53.28,229
2016-12-12,67.03,276,68.57,245,68.10,210
2016-12-13,59.17,240,58.11,222,59.09,198
2016-12-14,59.10,379,59.28,334,59.64,275
2016-12-15,60.00,385,61.85,346,62.63,289
2016-12-16,75.44,574,77.35,521,78.56,457
2016-12-17,63.48,345,64.90,302,65.10,255
2016-12-18,71.78,287,73.31,251,77.52,218
2016-12-19,64.96,274,64.20,243,67.79,208
2016-12-20,63.59,596,66.28,522,68.07,429
2016-12-21,69.08,249,70.78,219,72.97,185
2016-12-22,71.27,738,71.85,682,74.14,584
2016-12-23,71.24,619,73.60,553,74.58,476
2016-12-24,69.48,639,71.07,553,74.84,457
2016-12-25,72.25,1038,74.84,922,76.79,780
2016-12-26,75.45,1548,78.08,1414,80.92,1200
2016-12-27,73.37,1408,76.80,1263,80.85,1060
2016-12-28,73.07,1790,76.88,1600,80.19,1363
2016-12-29,74.78,1820,79.21,1616,82.55,1341
2016-12-30,74.02,2059,77.86,1816,81.31,1509
2016-12-31,74.26,1189,77.53,1068,83.30,910
2017-01-01,73.79,2572,79.29,2250,83.15,1887
2017-01-02,72.88,1884,76.32,1668,79.87,1386
2017-01-03,61.81,673,62.96,602,63.58,519
2017-01-04,58.01,574,57.76,509,58.00,450
2017-01-05,66.83,603,67.47,541,68.68,479
2017-01-06,65.55,508,66.38,464,67.01,394
2017-01-07,59.03,515,59.17,458,60.10,391
