Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2017-03-07,90.59,20000,92.43,18968,94.13,17708
2017-03-08,86.81,20000,89.54,17703,91.74,15840
2017-03-09,79.05,20000,83.67,17342,88.18,15015
2017-03-10,75.59,20000,79.22,17022,82.78,14383
2017-03-11,74.84,20000,78.18,17416,81.37,14392
2017-03-12,78.60,20000,82.43,17476,85.58,14420
2017-03-13,78.35,20000,82.83,17087,87.04,14406
2017-03-14,77.76,20000,82.74,17133,85.17,14257
2017-03-15,76.70,20000,81.36,16866,84.76,13922
2017-03-16,73.75,20000,79.49,16517,84.85,12861
2017-03-17,79.14,20000,84.65,16611,88.42,13150
2017-03-18,75.17,20000,80.37,16803,84.71,13556
2017-03-19,78.29,20000,83.93,16750,88.56,13220
2017-03-20,78.29,20000,84.98,16595,87.86,13537
2017-03-21,77.08,20000,83.35,16405,87.00,13460
2017-03-22,79.14,20000,83.28,17490,81.87,11371
2017-03-23,77.91,20000,83.89,17084,87.03,13727
2017-03-24,78.97,20000,83.88,17328,87.00,14456
2017-03-25,78.16,20000,82.95,17116,86.95,14203
2017-03-26,76.96,20000,84.00,16985,88.37,13993
2017-03-27,76.89,20000,81.58,16599,84.96,13417
2017-03-28,79.33,20000,84.19,17190,87.75,14814
2017-03-29,75.49,8749,80.98,7403,85.19,5943
2017-03-30,71.78,15488,78.75,12656,81.60,10315
2017-03-31,73.54,16433,80.12,13669,84.14,11103
Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,68.14,474,67.40,411,70.00,310
2016-11-02,59.36,561,58.79,495,59.89,369
2016-11-03,57.80,519,57.17,460,56.00,350
2016-11-04,61.51,621,61.48,553,63.64,440
2016-11-05,61.36,660,60.97,579,60.09,446
2016-11-06,56.52,667,56.25,592,56.72,476
2016-11-07,59.51,610,60.29,544,60.65,432
2016-11-08,60.26,546,63.73,477,63.78,381
2016-11-09,64.47,515,64.32,468,64.10,376
2016-11-10,58.82,646,59.83,575,58.37,466
2016-11-11,60.77,701,61.69,629,62.70,496
2016-11-12,61.49,657,60.84,572,60.22,460
2016-11-13,59.89,713,60.44,632,61.16,502
2016-11-14,57.60,566,57.61,493,56.43,381
2016-11-15,60.75,642,60.50,562,60.27,438
2016-11-16,57.91,613,57.17,551,57.75,426
2016-11-17,58.37,615,59.02,549,59.32,440
2016-11-18,59.89,561,58.79,495,58.84,396
2016-11-19,65.20,615,65.57,546,66.67,414
2016-11-20,57.86,598,57.71,525,57.07,417
2016-11-21,59.85,650,59.79,562,58.39,471
2016-11-22,59.33,686,60.13,602,58.61,488
2016-11-23,61.06,773,61.76,680,60.72,555
2016-11-24,69.17,785,68.92,679,69.69,541
2016-11-25,58.00,912,58.18,813,57.60,658
2016-11-26,60.81,689,61.20,616,61.26,493
2016-11-27,61.13,710,62.10,628,62.45,498
2016-11-28,58.43,611,58.46,532,58.37,418
2016-11-29,56.38,729,56.68,651,56.36,527
2016-11-30,61.83,883,62.72,778,61.69,629
2016-12-01,57.84,804,58.40,702,55.79,570
2016-12-02,58.21,737,57.30,644,56.55,504
2016-12-03,57.30,822,58.22,742,57.43,592
2016-12-04,56.78,708,55.81,620,54.97,513
2016-12-05,59.37,726,59.10,648,59.07,535
2016-12-06,60.28,793,60.62,706,60.11,559
2016-12-07,61.64,709,61.87,611,59.84,503
2016-12-08,59.94,976,59.79,838,58.07,663
2016-12-09,61.05,706,61.43,617,60.64,498
2016-12-10,55.16,959,54.92,854,54.26,693
2016-12-11,58.37,759,58.47,679,57.20,542
2016-12-12,59.39,692,57.61,611,58.84,481
2016-12-13,60.85,710,60.06,621,58.15,509
2016-12-14,54.74,1246,58.81,993,59.11,763
2016-12-15,57.57,1268,60.73,1011,60.30,801
2016-12-16,59.67,4845,68.90,3650,70.79,2934
2016-12-17,52.95,2049,58.83,1545,58.75,1188
2016-12-18,68.77,2174,76.08,1781,78.34,1491
2016-12-19,63.40,1183,67.60,1000,68.54,836
2016-12-20,59.20,929,61.54,767,62.98,597
2016-12-21,58.66,895,60.58,761,59.32,617
2016-12-22,64.86,737,68.52,629,70.38,530
2016-12-23,65.22,1337,68.10,1166,69.54,962
2016-12-24,63.57,1013,64.60,870,64.07,693
2016-12-25,66.64,1205,67.51,1068,68.05,870
2016-12-26,63.55,1026,64.20,919,64.03,745
2016-12-27,62.68,694,63.18,611,62.83,530
2016-12-28,62.21,696,63.59,596,63.66,487
2016-12-29,60.13,928,60.27,818,59.50,637
2016-12-30,64.91,818,64.75,729,65.14,591
2016-12-31,63.94,1026,64.85,899,63.76,734
2017-01-01,67.77,667,69.43,579,69.93,459
2017-01-02,60.27,808,61.03,716,59.26,567
2017-01-03,60.85,659,62.68,568,62.75,443
2017-01-04,56.30,698,56.98,623,56.04,505
2017-01-05,64.77,1374,65.14,1219,65.82,1018
2017-01-06,60.34,648,61.51,569,59.87,456
2017-01-07,61.88,787,61.52,699,60.66,572
2017-01-08,61.86,687,63.58,604,62.37,481
