Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,57.38,5120,57.49,4455,58.57,3816
2016-11-02,57.30,4677,57.23,4108,58.20,3538
2016-11-03,56.79,3886,57.41,3376,57.89,2952
2016-11-04,58.91,2998,59.55,2645,61.64,2263
2016-11-05,58.45,1976,58.74,1728,60.22,1473
2016-11-06,54.88,3158,54.91,2772,56.27,2394
2016-11-07,53.02,1939,52.75,1708,54.16,1455
2016-11-08,56.57,1941,56.27,1699,56.77,1485
2016-11-09,54.14,1642,53.56,1434,54.26,1255
2016-11-10,57.10,1557,56.18,1367,57.31,1204
2016-11-11,58.75,1801,58.33,1572,59.28,1336
2016-11-12,59.70,2025,60.16,1752,61.71,1478
2016-11-13,57.89,1895,57.46,1662,59.23,1435
2016-11-14,56.67,1770,56.41,1567,57.85,1350
2016-11-15,55.35,1617,55.86,1416,56.04,1226
2016-11-16,57.50,1793,57.93,1557,58.66,1328
2016-11-17,57.94,1769,58.22,1570,58.95,1352
2016-11-18,61.31,1993,61.33,1738,61.82,1485
2016-11-19,57.67,1883,57.77,1660,59.99,1442
2016-11-20,58.65,1879,58.15,1639,59.13,1407
2016-11-21,57.52,1949,58.37,1715,59.17,1467
2016-11-22,56.82,1883,57.28,1648,59.41,1419
2016-11-23,56.06,1948,56.39,1699,57.24,1450
2016-11-24,61.53,3018,62.27,2669,62.84,2352
2016-11-25,58.53,2192,58.85,1937,60.19,1673
2016-11-26,61.45,2280,61.74,2031,62.64,1753
2016-11-27,55.83,2794,56.12,2418,57.32,2050
2016-11-28,56.53,1992,55.91,1735,57.10,1492
2016-11-29,56.13,1819,56.66,1622,57.18,1364
2016-11-30,54.57,2003,54.52,1724,55.21,1478
2016-12-01,57.65,1804,57.63,1593,57.33,1364
2016-12-02,56.51,1927,56.79,1687,58.77,1465
2016-12-03,59.19,1985,58.99,1741,59.08,1515
2016-12-04,57.93,2130,58.59,1891,59.20,1652
2016-12-05,56.10,2025,56.23,1798,56.66,1553
2016-12-06,54.61,1996,54.55,1736,55.33,1491
2016-12-07,57.27,1919,57.63,1671,58.73,1449
2016-12-08,55.98,1974,55.76,1702,56.69,1480
2016-12-09,55.41,1978,56.05,1736,57.18,1504
2016-12-10,58.79,2058,60.32,1802,60.83,1570
2016-12-11,55.42,2223,55.96,1928,57.45,1624
2016-12-12,56.40,1913,56.00,1675,56.03,1442
2016-12-13,55.95,1982,56.94,1723,59.12,1480
2016-12-14,53.67,1962,53.36,1694,53.54,1453
2016-12-15,58.56,1595,58.66,1420,59.07,1246
2016-12-16,54.89,2035,54.73,1785,55.73,1536
2016-12-17,58.85,2068,58.75,1823,59.64,1551
2016-12-18,53.04,2106,53.50,1843,53.77,1566
2016-12-19,55.92,1933,56.05,1711,56.42,1480
2016-12-20,58.30,2060,58.91,1806,60.09,1561
2016-12-21,56.32,1884,56.81,1660,57.68,1420
2016-12-22,57.65,1993,58.06,1743,59.32,1480
2016-12-23,58.60,1988,58.28,1728,59.59,1507
2016-12-24,58.28,2368,58.54,2091,59.69,1811
2016-12-25,57.84,2393,58.62,2100,59.28,1795
2016-12-26,57.30,2068,57.42,1825,58.29,1544
2016-12-27,57.94,1978,58.14,1739,58.36,1489
2016-12-28,57.74,2028,58.47,1770,59.03,1540
2016-12-29,57.58,1912,57.52,1650,59.03,1423
2016-12-30,56.75,2127,56.84,1879,57.78,1606
2016-12-31,67.61,2661,69.17,2384,70.88,2102
2017-01-01,60.97,1955,60.97,1714,61.61,1477
2017-01-02,55.69,2081,55.48,1824,56.85,1583
2017-01-03,55.34,1930,55.07,1707,56.28,1466
2017-01-04,54.63,1836,54.50,1600,55.93,1382
2017-01-05,58.82,1843,58.37,1612,59.04,1372
2017-01-06,57.40,1810,57.68,1555,58.75,1355
2017-01-07,55.86,1996,55.15,1717,55.73,1466
2017-01-08,56.52,4897,56.88,4286,57.81,3619
2017-01-09,55.99,1811,56.33,1580,57.43,1372
2017-01-10,54.56,2443,54.77,2109,55.89,1809
2017-01-11,55.87,1738,55.82,1530,55.08,1329
2017-01-12,58.73,1885,59.23,1653,60.88,1439
2017-01-13,57.20,3362,57.38,2935,58.45,2508
2017-01-14,59.64,2287,59.73,2046,61.06,1759
2017-01-15,57.19,2843,57.43,2478,58.06,2067
2017-01-16,57.58,2970,57.96,2564,59.80,2174
2017-01-17,55.38,2241,55.29,1966,56.65,1661
2017-01-18,56.53,2314,56.41,1996,56.83,1712
2017-01-19,57.06,2133,57.33,1877,57.55,1597
2017-01-20,57.73,1727,57.64,1485,58.62,1276
2017-01-21,71.97,16617,73.89,14743,75.86,12784
2017-01-22,70.30,16696,72.35,14666,74.26,12751
