Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,40.62,453,39.42,378,39.88,321
2016-11-02,50.31,477,51.65,395,48.93,327
2016-11-03,46.12,529,48.00,450,47.20,375
2016-11-04,48.21,560,47.35,471,45.52,413
2016-11-05,50.27,374,50.16,315,49.47,285
2016-11-06,51.74,317,54.89,266,54.55,231
2016-11-07,47.58,330,48.03,279,44.07,236
2016-11-08,46.95,328,46.62,266,46.72,229
2016-11-09,48.82,551,51.77,452,50.00,394
2016-11-10,43.79,507,45.12,430,43.77,361
2016-11-11,51.50,732,53.05,622,53.54,523
2016-11-12,43.44,320,47.47,257,45.87,218
2016-11-13,44.19,301,44.05,252,42.45,212
2016-11-14,42.52,729,43.16,607,42.40,526
2016-11-15,46.91,1166,47.51,983,46.01,839
2016-11-16,45.14,895,45.49,743,44.29,630
2016-11-17,51.51,763,53.53,652,53.35,553
2016-11-18,48.33,1111,49.11,951,47.06,799
2016-11-19,32.26,31,32.00,25,29.17,24
2016-11-20,47.47,434,49.06,373,46.46,325
2016-11-21,46.38,470,45.10,408,42.03,345
2016-11-22,47.79,452,48.39,372,45.91,318
2016-11-23,42.18,595,42.89,506,40.52,427
2016-11-24,51.07,280,50.45,222,48.95,190
2016-11-25,45.54,437,48.92,372,46.95,311
2016-11-26,51.45,173,49.34,152,45.67,127
2016-11-27,51.41,177,53.33,150,50.39,129
2016-11-28,46.96,477,48.39,403,48.00,350
2016-11-29,48.08,339,50.00,274,48.71,232
2016-11-30,47.76,268,48.89,225,47.96,196
2016-12-01,48.20,666,49.21,573,49.58,480
2016-12-02,37.96,432,37.54,349,35.45,299
2016-12-03,50.46,876,51.09,732,48.95,619
2016-12-04,55.61,410,59.54,346,60.54,294
2016-12-05,47.62,924,48.19,774,48.15,675
2016-12-06,49.61,512,52.42,433,50.54,370
2016-12-07,43.55,861,43.81,719,43.02,623
2016-12-08,43.69,650,44.61,538,44.71,463
2016-12-09,46.74,997,46.36,852,45.44,724
2016-12-10,50.76,459,52.44,389,52.68,336
2016-12-11,52.88,503,53.64,453,54.73,391
