Date,Close,Diff,Binary
2016-11-01,112.25,,0
2016-11-02,112.39,0.14,4
2016-11-03,111.72,-0.67,0
2016-11-04,111.04,-0.68,0
2016-11-07,112.82,1.78,4
2016-11-08,114.11,1.29,4
2016-11-09,114.98,0.87,4
2016-11-10,114.51,-0.47,0
2016-11-11,114.22,-0.29,0
2016-11-14,117.86,3.64,4
2016-11-15,118.32,0.46,4
2016-11-16,119.21,0.89,4
2016-11-17,119.45,0.24,4
2016-11-18,120.0,0.55,4
2016-11-21,119.5,-0.5,0
2016-11-22,119.69,0.19,4
2016-11-23,120.14,0.45,4
2016-11-25,120.66,0.52,4
2016-11-28,121.82,1.16,4
2016-11-29,120.68,-1.14,0
2016-11-30,119.27,-1.41,0
2016-12-01,118.47,-0.8,0
2016-12-02,118.24,-0.23,0
2016-12-05,119.29,1.05,4
2016-12-06,119.25,-0.04,0
2016-12-07,119.92,0.67,4
2016-12-08,120.45,0.53,4
2016-12-09,121.26,0.81,4
2016-12-12,121.74,0.48,4
2016-12-13,122.68,0.94,4
2016-12-14,122.84,0.16,4
2016-12-15,122.36,-0.48,0
2016-12-16,123.24,0.88,4
2016-12-19,122.99,-0.25,0
2016-12-20,123.33,0.34,4
2016-12-21,123.18,-0.15,0
2016-12-22,123.72,0.54,4
2016-12-23,123.14,-0.58,0
2016-12-27,123.07,-0.07,0
2016-12-28,122.68,-0.39,0
2016-12-29,122.79,0.11,4
2016-12-30,121.72,-1.07,0
2017-01-03,119.62,-2.1,0
2017-01-04,119.48,-0.14,0
2017-01-05,119.7,0.22,4
2017-01-06,120.76,1.06,4
2017-01-09,120.43,-0.33,0
2017-01-10,120.25,-0.18,0
2017-01-11,120.88,0.63,4
2017-01-12,122.1,1.22,4
2017-01-13,121.5,-0.6,0
2017-01-17,122.75,1.25,4
2017-01-18,122.71,-0.04,0
2017-01-19,122.18,-0.53,0
2017-01-20,122.26,0.08,4
2017-01-23,121.38,-0.88,0
2017-01-24,121.05,-0.33,0
2017-01-25,121.79,0.74,4
2017-01-26,121.88,0.09,4
2017-01-27,122.86,0.98,4
2017-01-30,123.02,0.16,4
2017-01-31,122.57,-0.45,0
2017-02-01,122.42,-0.15,0
2017-02-02,123.22,0.8,4
2017-02-03,124.24,1.02,4
2017-02-06,124.45,0.21,4
2017-02-07,124.59,0.14,4
2017-02-08,124.67,0.08,4
2017-02-09,124.48,-0.19,0
2017-02-10,125.82,1.34,4
2017-02-13,125.54,-0.28,0
2017-02-14,125.81,0.27,4
2017-02-15,126.48,0.67,4
2017-02-16,126.7,0.22,4
2017-02-17,127.8,1.1,4
2017-02-21,128.04,0.24,4
2017-02-22,127.85,-0.19,0
2017-02-23,128.27,0.42,4
2017-02-24,128.65,0.38,4
2017-02-27,126.99,-1.66,0
2017-02-28,127.65,0.66,4
2017-03-01,129.05,1.4,4
2017-03-02,128.23,-0.82,0
2017-03-03,127.9,-0.33,0
2017-03-06,128.03,0.13,4
2017-03-07,128.07,0.04,4
2017-03-08,128.09,0.02,4
2017-03-09,128.14,0.05,4
2017-03-10,127.98,-0.16,0
2017-03-13,127.61,-0.37,0
2017-03-14,127.8,0.19,4
2017-03-15,127.88,0.08,4
2017-03-16,127.98,0.1,4
2017-03-17,128.64,0.66,4
2017-03-20,128.78,0.14,4
2017-03-21,128.52,-0.26,0
2017-03-22,129.1,0.58,4
2017-03-23,129.0,-0.1,0
2017-03-24,129.34,0.34,4
2017-03-27,129.49,0.15,4
2017-03-28,129.45,-0.04,0
2017-03-29,128.84,-0.61,0
2017-03-30,129.32,0.48,4
2017-03-31,129.61,0.29,4
2017-04-03,129.61,0.0,0
2017-04-04,129.29,-0.32,0
2017-04-05,130.41,1.12,4
2017-04-06,130.15,-0.26,0
2017-04-07,129.96,-0.19,0
2017-04-10,129.98,0.02,4
2017-04-11,131.2,1.22,4
2017-04-12,131.26,0.06,4
2017-04-13,130.76,-0.5,0
2017-04-17,131.35,0.59,4
2017-04-18,132.3,0.95,4
2017-04-19,132.64,0.34,4
2017-04-20,133.27,0.63,4
2017-04-21,133.41,0.14,4
2017-04-24,134.23,0.82,4
2017-04-25,141.7,7.47,4
2017-04-26,140.84,-0.86,0
2017-04-27,140.87,0.03,4
2017-04-28,139.93,-0.94,0
2017-05-01,141.15,1.22,4
2017-05-02,141.23,0.08,4
2017-05-03,142.62,1.39,4
2017-05-04,143.45,0.83,4
2017-05-05,143.96,0.51,4
2017-05-08,144.24,0.28,4
2017-05-09,144.36,0.12,4
2017-05-10,144.52,0.16,4
2017-05-11,144.21,-0.31,0
2017-05-12,145.36,1.15,4
2017-05-15,146.28,0.92,4
2017-05-16,147.29,1.01,4
2017-05-17,146.41,-0.88,0
2017-05-18,147.01,0.6,4
2017-05-19,148.15,1.14,4
2017-05-22,148.19,0.04,4
2017-05-23,147.82,-0.37,0
