Date,Close,Diff,Binary
2016-11-01,63.52,,0
2016-11-02,63.76,0.24,4
2016-11-03,64.16,0.4,4
2016-11-04,64.68,0.52,4
2016-11-07,65.46,0.78,4
2016-11-08,65.38,-0.08,0
2016-11-09,66.93,1.55,4
2016-11-10,67.1,0.17,4
2016-11-11,66.44,-0.66,0
2016-11-14,64.73,-1.71,0
2016-11-15,64.48,-0.25,0
2016-11-16,64.71,0.23,4
2016-11-17,64.86,0.15,4
2016-11-18,65.85,0.99,4
2016-11-21,65.97,0.12,4
2016-11-22,65.58,-0.39,0
2016-11-23,65.34,-0.24,0
2016-11-25,65.69,0.35,4
2016-11-28,64.58,-1.11,0
2016-11-29,64.97,0.39,4
2016-11-30,64.09,-0.88,0
2016-12-01,63.55,-0.54,0
2016-12-02,63.88,0.33,4
2016-12-05,64.86,0.98,4
2016-12-06,66.52,1.66,4
2016-12-07,67.61,1.09,4
2016-12-08,67.77,0.16,4
2016-12-09,68.62,0.85,4
2016-12-12,68.79,0.17,4
2016-12-13,69.26,0.47,4
2016-12-14,68.26,-1.0,0
2016-12-15,68.61,0.35,4
2016-12-16,68.06,-0.55,0
2016-12-19,67.7,-0.36,0
2016-12-20,68.01,0.31,4
2016-12-21,67.49,-0.52,0
2016-12-22,67.21,-0.28,0
2016-12-23,67.17,-0.04,0
2016-12-27,67.53,0.36,4
2016-12-28,67.34,-0.19,0
2016-12-29,67.01,-0.33,0
2016-12-30,67.12,0.11,4
2017-01-03,66.68,-0.44,0
2017-01-04,67.72,1.04,4
2017-01-05,67.64,-0.08,0
2017-01-06,68.46,0.82,4
2017-01-09,67.77,-0.69,0
2017-01-10,67.2,-0.57,0
2017-01-11,67.72,0.52,4
2017-01-12,67.4,-0.32,0
2017-01-13,67.71,0.31,4
2017-01-17,66.99,-0.72,0
2017-01-18,67.25,0.26,4
2017-01-19,67.06,-0.19,0
2017-01-20,67.36,0.3,4
2017-01-23,67.32,-0.04,0
2017-01-24,67.95,0.63,4
2017-01-25,68.34,0.39,4
2017-01-26,68.83,0.49,4
2017-01-27,68.36,-0.47,0
2017-01-30,68.18,-0.18,0
2017-01-31,70.54,2.36,4
2017-02-01,70.75,0.21,4
2017-02-02,70.67,-0.08,0
2017-02-03,70.34,-0.33,0
2017-02-06,69.74,-0.6,0
2017-02-07,69.36,-0.38,0
2017-02-08,68.88,-0.48,0
2017-02-09,69.1,0.22,4
2017-02-10,69.77,0.67,4
2017-02-13,70.7,0.93,4
2017-02-14,70.78,0.08,4
2017-02-15,71.25,0.47,4
2017-02-16,71.34,0.09,4
2017-02-17,71.51,0.17,4
2017-02-21,71.37,-0.14,0
2017-02-22,71.24,-0.13,0
2017-02-23,71.45,0.21,4
2017-02-24,71.45,0.0,0
2017-02-27,71.15,-0.3,0
2017-02-28,71.11,-0.04,0
2017-03-01,72.18,1.07,4
2017-03-02,71.25,-0.93,0
2017-03-03,71.09,-0.16,0
2017-03-06,71.36,0.27,4
2017-03-07,70.93,-0.43,0
2017-03-08,70.73,-0.2,0
2017-03-09,71.08,0.35,4
2017-03-10,70.96,-0.12,0
2017-03-13,70.78,-0.18,0
2017-03-14,70.71,-0.07,0
2017-03-15,70.82,0.11,4
2017-03-16,71.16,0.34,4
2017-03-17,70.88,-0.28,0
2017-03-20,70.77,-0.11,0
2017-03-21,69.74,-1.03,0
2017-03-22,69.7,-0.04,0
2017-03-23,69.73,0.03,4
2017-03-24,69.85,0.12,4
2017-03-27,69.01,-0.84,0
2017-03-28,69.14,0.13,4
2017-03-29,68.67,-0.47,0
2017-03-30,69.39,0.72,4
2017-03-31,69.45,0.06,4
2017-04-03,68.91,-0.54,0
2017-04-04,68.63,-0.28,0
2017-04-05,69.09,0.46,4
2017-04-06,69.13,0.04,4
2017-04-07,69.22,0.09,4
2017-04-10,69.36,0.14,4
2017-04-11,69.0,-0.36,0
2017-04-12,68.68,-0.32,0
2017-04-13,68.11,-0.57,0
2017-04-17,69.08,0.97,4
2017-04-18,69.1,0.02,4
2017-04-19,69.17,0.07,4
2017-04-20,70.12,0.95,4
2017-04-21,69.91,-0.21,0
2017-04-24,70.45,0.54,4
2017-04-25,70.53,0.08,4
2017-04-26,69.54,-0.99,0
2017-04-27,68.67,-0.87,0
2017-04-28,68.87,0.2,4
2017-05-01,68.44,-0.43,0
2017-05-02,68.36,-0.08,0
2017-05-03,67.81,-0.55,0
2017-05-04,67.96,0.15,4
2017-05-05,67.91,-0.05,0
2017-05-08,67.03,-0.88,0
2017-05-09,66.75,-0.28,0
2017-05-10,66.75,0.0,0
2017-05-11,67.2,0.45,4
2017-05-12,67.55,0.35,4
2017-05-15,67.77,0.22,4
2017-05-16,67.37,-0.4,0
2017-05-17,66.73,-0.64,0
2017-05-18,66.74,0.01,4
2017-05-19,67.44,0.7,4
2017-05-22,67.91,0.47,4
2017-05-23,67.93,0.02,4
2017-05-24,67.67,-0.26,0
2017-05-25,68.19,0.52,4
2017-05-26,67.58,-0.61,0
2017-05-30,67.42,-0.16,0
2017-05-31,67.65,0.23,4
2017-06-01,67.87,0.22,4
2017-06-02,67.5,-0.37,0
2017-06-05,67.87,0.37,4
2017-06-06,68.26,0.39,4
2017-06-07,69.6,1.34,4
2017-06-08,70.21,0.61,4
2017-06-09,70.54,0.33,4
2017-06-12,70.4,-0.14,0
2017-06-13,71.49,1.09,4
2017-06-14,71.05,-0.44,0
2017-06-15,70.95,-0.1,0
2017-06-16,71.16,0.21,4
2017-06-19,71.14,-0.02,0
2017-06-20,70.27,-0.87,0
2017-06-21,69.76,-0.51,0
2017-06-22,69.53,-0.23,0
2017-06-23,69.86,0.33,4
2017-06-26,70.3,0.44,4
2017-06-27,70.68,0.38,4
2017-06-28,71.63,0.95,4
2017-06-29,71.54,-0.09,0
2017-06-30,71.49,-0.05,0
2017-07-03,71.65,0.16,4
2017-07-05,71.68,0.03,4
2017-07-06,71.26,-0.42,0
2017-07-07,71.63,0.37,4
2017-07-10,71.34,-0.29,0
2017-07-11,71.2,-0.14,0
2017-07-12,71.33,0.13,4
2017-07-13,71.54,0.21,4
2017-07-14,71.06,-0.48,0
2017-07-17,71.49,0.43,4
2017-07-18,71.7,0.21,4
2017-07-19,71.81,0.11,4
2017-07-20,72.02,0.21,4
2017-07-21,72.74,0.72,4
2017-07-24,72.64,-0.1,0
2017-07-25,72.74,0.1,4
2017-07-26,74.45,1.71,4
2017-07-27,74.33,-0.12,0
2017-07-28,74.37,0.04,4
2017-07-31,74.37,0.0,0
2017-08-01,74.78,0.41,4
2017-08-02,74.67,-0.11,0
2017-08-03,75.09,0.42,4
2017-08-04,75.11,0.02,4
2017-08-07,75.01,-0.1,0
2017-08-08,75.25,0.24,4
2017-08-09,76.25,1.0,4
2017-08-10,75.92,-0.33,0
2017-08-11,75.5,-0.42,0
2017-08-14,76.8,1.3,4
2017-08-15,77.0,0.2,4
2017-08-16,77.12,0.12,4
2017-08-17,76.28,-0.84,0
2017-08-18,74.91,-1.37,0
2017-08-21,75.29,0.38,4
2017-08-22,76.44,1.15,4
2017-08-23,75.69,-0.75,0
2017-08-24,74.94,-0.75,0
2017-08-25,75.75,0.81,4
2017-08-28,75.63,-0.12,0
2017-08-29,75.21,-0.42,0
2017-08-30,75.08,-0.13,0
2017-08-31,75.38,0.3,4
2017-09-01,75.37,-0.01,0
2017-09-05,74.38,-0.99,0
2017-09-06,74.19,-0.19,0
2017-09-07,73.72,-0.47,0
2017-09-08,74.35,0.63,4
2017-09-11,74.17,-0.18,0
2017-09-12,75.03,0.86,4
2017-09-13,74.74,-0.29,0
2017-09-14,74.7,-0.04,0
