Date,Close,Diff,Binary
2016-11-01,49.62,,0
2016-11-02,49.72,0.1,4
2016-11-03,49.73,0.01,4
2016-11-04,49.96,0.23,4
2016-11-07,50.91,0.95,4
2016-11-08,51.08,0.17,4
2016-11-09,51.12,0.04,4
2016-11-10,50.39,-0.73,0
2016-11-11,50.77,0.38,4
2016-11-14,50.21,-0.56,0
2016-11-15,50.13,-0.08,0
2016-11-16,50.68,0.55,4
2016-11-17,51.59,0.91,4
2016-11-18,51.1,-0.49,0
2016-11-21,51.28,0.18,4
2016-11-22,51.71,0.43,4
2016-11-23,51.34,-0.37,0
2016-11-25,51.52,0.18,4
2016-11-28,51.01,-0.51,0
2016-11-29,50.63,-0.38,0
2016-11-30,50.07,-0.56,0
2016-12-01,50.65,0.58,4
2016-12-02,50.46,-0.19,0
2016-12-05,51.85,1.39,4
2016-12-06,50.57,-1.28,0
2016-12-07,52.1,1.53,4
2016-12-08,51.55,-0.55,0
2016-12-09,51.72,0.17,4
2016-12-12,51.54,-0.18,0
2016-12-13,52.3,0.76,4
2016-12-14,51.79,-0.51,0
2016-12-15,51.29,-0.5,0
2016-12-16,50.92,-0.37,0
2016-12-19,50.85,-0.07,0
2016-12-20,51.79,0.94,4
2016-12-21,52.3,0.51,4
2016-12-22,52.14,-0.16,0
2016-12-23,51.91,-0.23,0
2016-12-27,51.29,-0.62,0
2016-12-28,51.02,-0.27,0
2016-12-29,51.06,0.04,4
2016-12-30,50.83,-0.23,0
2017-01-03,51.98,1.15,4
2017-01-04,53.07,1.09,4
2017-01-05,53.06,-0.01,0
2017-01-06,53.91,0.85,4
2017-01-09,53.38,-0.53,0
2017-01-10,53.11,-0.27,0
2017-01-11,52.69,-0.42,0
2017-01-12,52.4,-0.29,0
2017-01-13,52.92,0.52,4
2017-01-17,53.65,0.73,4
2017-01-18,53.27,-0.38,0
2017-01-19,52.93,-0.34,0
2017-01-20,53.2,0.27,4
2017-01-23,53.24,0.04,4
2017-01-24,53.45,0.21,4
2017-01-25,53.86,0.41,4
2017-01-26,53.65,-0.21,0
2017-01-27,53.19,-0.46,0
2017-01-30,53.08,-0.11,0
2017-01-31,52.9,-0.18,0
2017-02-01,53.02,0.12,4
2017-02-02,52.8,-0.22,0
2017-02-03,52.36,-0.44,0
2017-02-06,52.8,0.44,4
2017-02-07,52.81,0.01,4
2017-02-08,53.88,1.07,4
2017-02-09,55.31,1.43,4
2017-02-10,56.22,0.91,4
2017-02-13,56.09,-0.13,0
2017-02-14,56.45,0.36,4
2017-02-15,56.64,0.19,4
2017-02-16,56.29,-0.35,0
2017-02-17,56.75,0.46,4
2017-02-21,57.36,0.61,4
2017-02-22,58.24,0.88,4
2017-02-23,57.39,-0.85,0
2017-02-24,57.86,0.47,4
2017-02-27,57.69,-0.17,0
2017-02-28,57.16,-0.53,0
2017-03-01,57.95,0.79,4
2017-03-02,57.8,-0.15,0
2017-03-03,56.7,-1.1,0
2017-03-06,56.77,0.07,4
2017-03-07,56.55,-0.22,0
2017-03-08,56.51,-0.04,0
2017-03-09,56.36,-0.15,0
2017-03-10,56.43,0.07,4
2017-03-13,56.67,0.24,4
2017-03-14,57.28,0.61,4
2017-03-15,57.66,0.38,4
2017-03-16,57.6,-0.06,0
2017-03-17,57.8,0.2,4
2017-03-20,58.68,0.88,4
2017-03-21,58.01,-0.67,0
2017-03-22,53.92,-4.09,0
2017-03-23,55.37,1.45,4
2017-03-24,56.36,0.99,4
2017-03-27,55.93,-0.43,0
2017-03-28,56.62,0.69,4
2017-03-29,56.68,0.06,4
2017-03-30,56.04,-0.64,0
2017-03-31,55.73,-0.31,0
2017-04-03,55.56,-0.17,0
2017-04-04,55.04,-0.52,0
2017-04-05,54.98,-0.06,0
2017-04-06,55.14,0.16,4
2017-04-07,55.11,-0.03,0
2017-04-10,54.9,-0.21,0
2017-04-11,54.92,0.02,4
2017-04-12,55.57,0.65,4
2017-04-13,55.34,-0.23,0
2017-04-17,56.24,0.9,4
2017-04-18,56.11,-0.13,0
2017-04-19,55.86,-0.25,0
2017-04-20,56.4,0.54,4
2017-04-21,55.85,-0.55,0
2017-04-24,55.47,-0.38,0
2017-04-25,55.45,-0.02,0
2017-04-26,55.16,-0.29,0
2017-04-27,55.47,0.31,4
2017-04-28,55.41,-0.06,0
