Date,Close,Diff,Binary
2016-11-01,2111.72,,0
2016-11-02,2097.94,-13.78,0
2016-11-03,2088.66,-9.28,0
2016-11-04,2085.18,-3.48,0
2016-11-07,2131.52,46.34,4
2016-11-08,2139.56,8.04,4
2016-11-09,2163.26,23.7,4
2016-11-10,2167.48,4.22,4
2016-11-11,2164.45,-3.03,0
2016-11-14,2164.2,-0.25,0
2016-11-15,2180.39,16.19,4
2016-11-16,2176.94,-3.45,0
2016-11-17,2187.12,10.18,4
2016-11-18,2181.9,-5.22,0
2016-11-21,2198.18,16.28,4
2016-11-22,2202.94,4.76,4
2016-11-23,2204.72,1.78,4
2016-11-25,2213.35,8.63,4
2016-11-28,2201.72,-11.63,0
2016-11-29,2204.66,2.94,4
2016-11-30,2198.81,-5.85,0
2016-12-01,2191.08,-7.73,0
2016-12-02,2191.95,0.87,4
2016-12-05,2204.71,12.76,4
2016-12-06,2212.23,7.52,4
2016-12-07,2241.35,29.12,4
2016-12-08,2246.19,4.84,4
2016-12-09,2259.53,13.34,4
2016-12-12,2256.96,-2.57,0
2016-12-13,2271.72,14.76,4
2016-12-14,2253.28,-18.44,0
2016-12-15,2262.03,8.75,4
2016-12-16,2258.07,-3.96,0
2016-12-19,2262.53,4.46,4
2016-12-20,2270.76,8.23,4
2016-12-21,2265.18,-5.58,0
2016-12-22,2260.96,-4.22,0
2016-12-23,2263.79,2.83,4
2016-12-27,2268.88,5.09,4
2016-12-28,2249.92,-18.96,0
2016-12-29,2249.26,-0.66,0
2016-12-30,2238.83,-10.43,0
2017-01-03,2257.83,19.0,4
2017-01-04,2270.75,12.92,4
2017-01-05,2269.0,-1.75,0
2017-01-06,2276.98,7.98,4
2017-01-09,2268.9,-8.08,0
2017-01-10,2268.9,0.0,0
2017-01-11,2275.32,6.42,4
2017-01-12,2270.44,-4.88,0
2017-01-13,2274.64,4.2,4
2017-01-17,2267.89,-6.75,0
2017-01-18,2271.89,4.0,4
2017-01-19,2263.69,-8.2,0
2017-01-20,2271.31,7.62,4
2017-01-23,2265.2,-6.11,0
2017-01-24,2280.07,14.87,4
2017-01-25,2298.37,18.3,4
2017-01-26,2296.68,-1.69,0
2017-01-27,2294.69,-1.99,0
2017-01-30,2280.9,-13.79,0
2017-01-31,2278.87,-2.03,0
2017-02-01,2279.55,0.68,4
2017-02-02,2280.85,1.3,4
2017-02-03,2297.42,16.57,4
2017-02-06,2292.56,-4.86,0
2017-02-07,2293.08,0.52,4
2017-02-08,2294.67,1.59,4
2017-02-09,2307.87,13.2,4
2017-02-10,2316.1,8.23,4
2017-02-13,2328.25,12.15,4
2017-02-14,2337.58,9.33,4
2017-02-15,2349.25,11.67,4
2017-02-16,2347.22,-2.03,0
2017-02-17,2351.16,3.94,4
2017-02-21,2365.38,14.22,4
2017-02-22,2362.82,-2.56,0
2017-02-23,2363.81,0.99,4
2017-02-24,2367.34,3.53,4
2017-02-27,2369.75,2.41,4
2017-02-28,2363.64,-6.11,0
2017-03-01,2395.96,32.32,4
2017-03-02,2381.92,-14.04,0
2017-03-03,2383.12,1.2,4
2017-03-06,2375.31,-7.81,0
2017-03-07,2368.39,-6.92,0
2017-03-08,2362.98,-5.41,0
2017-03-09,2364.87,1.89,4
2017-03-10,2372.6,7.73,4
2017-03-13,2373.47,0.87,4
2017-03-14,2365.45,-8.02,0
2017-03-15,2385.26,19.81,4
2017-03-16,2381.38,-3.88,0
2017-03-17,2378.25,-3.13,0
2017-03-20,2373.47,-4.78,0
2017-03-21,2344.02,-29.45,0
2017-03-22,2348.45,4.43,4
2017-03-23,2345.96,-2.49,0
2017-03-24,2343.98,-1.98,0
2017-03-27,2341.59,-2.39,0
2017-03-28,2358.57,16.98,4
2017-03-29,2361.13,2.56,4
2017-03-30,2368.06,6.93,4
2017-03-31,2362.72,-5.34,0
2017-04-03,2358.84,-3.88,0
2017-04-04,2360.16,1.32,4
2017-04-05,2352.95,-7.21,0
2017-04-06,2357.49,4.54,4
2017-04-07,2355.54,-1.95,0
2017-04-10,2357.16,1.62,4
2017-04-11,2353.78,-3.38,0
2017-04-12,2344.93,-8.85,0
2017-04-13,2328.95,-15.98,0
2017-04-17,2349.01,20.06,4
2017-04-18,2342.19,-6.82,0
2017-04-19,2338.17,-4.02,0
2017-04-20,2355.84,17.67,4
2017-04-21,2348.69,-7.15,0
2017-04-24,2374.15,25.46,4
2017-04-25,2388.61,14.46,4
2017-04-26,2387.45,-1.16,0
2017-04-27,2388.77,1.32,4
2017-04-28,2384.2,-4.57,0
2017-05-01,2388.33,4.13,4
2017-05-02,2391.17,2.84,4
2017-05-03,2388.13,-3.04,0
2017-05-04,2389.52,1.39,4
2017-05-05,2399.29,9.77,4
2017-05-08,2399.38,0.09,4
2017-05-09,2396.92,-2.46,0
2017-05-10,2399.63,2.71,4
2017-05-11,2394.44,-5.19,0
2017-05-12,2390.9,-3.54,0
2017-05-15,2402.32,11.42,4
2017-05-16,2400.67,-1.65,0
2017-05-17,2357.03,-43.64,0
2017-05-18,2365.72,8.69,4
2017-05-19,2381.73,16.01,4
2017-05-22,2394.02,12.29,4
2017-05-23,2398.42,4.4,4
2017-05-24,2404.39,5.97,4
2017-05-25,2415.07,10.68,4
2017-05-26,2415.82,0.75,4
2017-05-30,2412.91,-2.91,0
2017-05-31,2411.8,-1.11,0
2017-06-01,2430.06,18.26,4
2017-06-02,2439.07,9.01,4
2017-06-05,2436.1,-2.97,0
2017-06-06,2429.33,-6.77,0
2017-06-07,2433.14,3.81,4
2017-06-08,2433.79,0.65,4
2017-06-09,2431.77,-2.02,0
2017-06-12,2429.39,-2.38,0
2017-06-13,2440.35,10.96,4
2017-06-14,2437.92,-2.43,0
2017-06-15,2432.46,-5.46,0
2017-06-16,2433.15,0.69,4
2017-06-19,2453.46,20.31,4
2017-06-20,2437.03,-16.43,0
2017-06-21,2435.61,-1.42,0
2017-06-22,2434.5,-1.11,0
2017-06-23,2438.3,3.8,4
2017-06-26,2439.07,0.77,4
2017-06-27,2419.38,-19.69,0
2017-06-28,2440.69,21.31,4
2017-06-29,2419.7,-20.99,0
2017-06-30,2423.41,3.71,4
2017-07-03,2429.01,5.6,4
2017-07-05,2432.54,3.53,4
2017-07-06,2409.75,-22.79,0
2017-07-07,2425.18,15.43,4
2017-07-10,2427.43,2.25,4
2017-07-11,2425.53,-1.9,0
2017-07-12,2443.25,17.72,4
2017-07-13,2447.83,4.58,4
2017-07-14,2459.27,11.44,4
2017-07-17,2459.14,-0.13,0
2017-07-18,2460.61,1.47,4
2017-07-19,2473.83,13.22,4
2017-07-20,2473.45,-0.38,0
2017-07-21,2472.54,-0.91,0
2017-07-24,2469.91,-2.63,0
2017-07-25,2477.13,7.22,4
2017-07-26,2477.83,0.7,4
2017-07-27,2475.42,-2.41,0
2017-07-28,2472.1,-3.32,0
2017-07-31,2470.3,-1.8,0
2017-08-01,2476.35,6.05,4
2017-08-02,2477.57,1.22,4
2017-08-03,2472.16,-5.41,0
2017-08-04,2476.83,4.67,4
2017-08-07,2480.91,4.08,4
2017-08-08,2474.92,-5.99,0
2017-08-09,2474.02,-0.9,0
2017-08-10,2438.21,-35.81,0
2017-08-11,2441.32,3.11,4
2017-08-14,2465.84,24.52,4
2017-08-15,2464.61,-1.23,0
2017-08-16,2468.11,3.5,4
2017-08-17,2430.01,-38.1,0
2017-08-18,2425.55,-4.46,0
2017-08-21,2428.37,2.82,4
2017-08-22,2452.51,24.14,4
2017-08-23,2444.04,-8.47,0
2017-08-24,2438.97,-5.07,0
2017-08-25,2443.05,4.08,4
2017-08-28,2444.24,1.19,4
2017-08-29,2446.3,2.06,4
2017-08-30,2457.59,11.29,4
2017-08-31,2471.65,14.06,4
