Date,Open,High,Low,Close,Volume,Adj Close
2016-12-23,1801000.00,1804000.00,1780000.00,1782000.00,166600,1782000.00
2016-12-22,1813000.00,1815000.00,1799000.00,1809000.00,127000,1809000.00
2016-12-21,1818000.00,1830000.00,1801000.00,1805000.00,131000,1805000.00
2016-12-20,1796000.00,1820000.00,1792000.00,1812000.00,152300,1812000.00
2016-12-19,1781000.00,1819000.00,1781000.00,1795000.00,108700,1795000.00
2016-12-16,1765000.00,1801000.00,1760000.00,1793000.00,234900,1793000.00
2016-12-15,1741000.00,1775000.00,1741000.00,1759000.00,115400,1759000.00
2016-12-14,1778000.00,1784000.00,1764000.00,1777000.00,149100,1777000.00
2016-12-13,1731000.00,1772000.00,1731000.00,1766000.00,233600,1766000.00
2016-12-12,1733000.00,1768000.00,1733000.00,1752000.00,228200,1752000.00
2016-12-09,1795000.00,1795000.00,1770000.00,1780000.00,213000,1780000.00
2016-12-08,1799000.00,1801000.00,1776000.00,1790000.00,329200,1790000.00
2016-12-07,1752000.00,1774000.00,1752000.00,1772000.00,192000,1772000.00
2016-12-06,1722000.00,1760000.00,1720000.00,1748000.00,280000,1748000.00
2016-12-05,1717000.00,1734000.00,1711000.00,1718000.00,169600,1718000.00
2016-12-02,1724000.00,1738000.00,1707000.00,1727000.00,307000,1727000.00
2016-12-01,1740000.00,1753000.00,1733000.00,1749000.00,310700,1749000.00
2016-11-30,1677000.00,1747000.00,1677000.00,1746000.00,570700,1746000.00
2016-11-29,1690000.00,1698000.00,1669000.00,1677000.00,361600,1677000.00
2016-11-28,1650000.00,1681000.00,1640000.00,1677000.00,265800,1677000.00
2016-11-25,1641000.00,1652000.00,1633000.00,1650000.00,125500,1650000.00
2016-11-24,1649000.00,1652000.00,1633000.00,1650000.00,155100,1650000.00
2016-11-23,1661000.00,1661000.00,1626000.00,1649000.00,253300,1649000.00
2016-11-22,1607000.00,1645000.00,1600000.00,1640000.00,195000,1640000.00
2016-11-21,1565000.00,1606000.00,1565000.00,1593000.00,163600,1593000.00
2016-11-18,1582000.00,1588000.00,1570000.00,1586000.00,189200,1586000.00
2016-11-17,1555000.00,1576000.00,1545000.00,1568000.00,157400,1568000.00
2016-11-16,1540000.00,1564000.00,1540000.00,1558000.00,266100,1558000.00
2016-11-15,1553000.00,1581000.00,1539000.00,1539000.00,273300,1539000.00
2016-11-14,1595000.00,1596000.00,1552000.00,1553000.00,302600,1553000.00
2016-11-11,1585000.00,1618000.00,1585000.00,1598000.00,256700,1598000.00
2016-11-10,1630000.00,1650000.00,1618000.00,1649000.00,235900,1649000.00
2016-11-09,1646000.00,1657000.00,1591000.00,1596000.00,313600,1596000.00
2016-11-08,1649000.00,1649000.00,1635000.00,1644000.00,108300,1644000.00
2016-11-07,1647000.00,1650000.00,1634000.00,1640000.00,153200,1640000.00
2016-11-04,1605000.00,1634000.00,1605000.00,1627000.00,142000,1627000.00
2016-11-03,1630000.00,1640000.00,1606000.00,1616000.00,206800,1616000.00
2016-11-02,1640000.00,1652000.00,1631000.00,1643000.00,201900,1643000.00
2016-11-01,1630000.00,1652000.00,1612000.00,1652000.00,206900,1652000.00
2016-10-31,1616000.00,1639000.00,1611000.00,1639000.00,241300,1639000.00
2016-10-28,1580000.00,1614000.00,1580000.00,1614000.00,204200,1614000.00
2016-10-27,1571000.00,1617000.00,1556000.00,1573000.00,282300,1573000.00
2016-10-26,1597000.00,1599000.00,1562000.00,1567000.00,210600,1567000.00
2016-10-25,1600000.00,1604000.00,1592000.00,1597000.00,197300,1597000.00
2016-10-24,1593000.00,1608000.00,1590000.00,1608000.00,185700,1608000.00
2016-10-21,1606000.00,1613000.00,1588000.00,1589000.00,209500,1589000.00
2016-10-20,1626000.00,1651000.00,1609000.00,1620000.00,206600,1620000.00
2016-10-19,1579000.00,1643000.00,1575000.00,1625000.00,308800,1625000.00
2016-10-18,1572000.00,1595000.00,1572000.00,1589000.00,207600,1589000.00
2016-10-17,1565000.00,1602000.00,1538000.00,1590000.00,255700,1590000.00
2016-10-14,1548000.00,1588000.00,1547000.00,1577000.00,283100,1577000.00
2016-10-13,1550000.00,1581000.00,1545000.00,1557000.00,437200,1557000.00
2016-10-12,1495000.00,1545000.00,1494000.00,1535000.00,781700,1535000.00
2016-10-11,1600000.00,1625000.00,1545000.00,1545000.00,768500,1545000.00
2016-10-10,1650000.00,1689000.00,1628000.00,1680000.00,505800,1680000.00
2016-10-07,1700000.00,1716000.00,1690000.00,1706000.00,521000,1706000.00
2016-10-06,1696000.00,1700000.00,1667000.00,1691000.00,591100,1691000.00
2016-10-05,1601000.00,1626000.00,1597000.00,1619000.00,249400,1619000.00
2016-10-04,1610000.00,1624000.00,1606000.00,1614000.00,261000,1614000.00
2016-10-03,1598000.00,1598000.00,1598000.00,1598000.00,000,1598000.00
2016-09-30,1590000.00,1615000.00,1585000.00,1598000.00,235200,1598000.00
2016-09-29,1573000.00,1619000.00,1572000.00,1600000.00,227900,1600000.00
2016-09-28,1554000.00,1573000.00,1554000.00,1567000.00,174100,1567000.00
2016-09-27,1550000.00,1575000.00,1533000.00,1569000.00,196600,1569000.00
2016-09-26,1571000.00,1596000.00,1564000.00,1568000.00,290400,1568000.00
