Date,Open,High,Low,Close,Volume,Adj Close
2016-12-23,208.00,213.449997,207.710007,213.339996,4662900,213.339996
2016-12-22,208.220001,209.990005,206.50,208.449997,3106900,208.449997
2016-12-21,208.449997,212.229996,207.410004,207.699997,5204800,207.699997
2016-12-20,203.050003,209.00,202.50,208.789993,4681400,208.789993
2016-12-19,202.490005,204.449997,199.839996,202.729996,3481500,202.729996
2016-12-16,198.080002,202.589996,197.600006,202.490005,3779800,202.490005
2016-12-15,198.410004,200.740005,197.389999,197.580002,3218200,197.580002
2016-12-14,198.740005,203.00,196.759995,198.690002,4144600,198.690002
2016-12-13,193.179993,201.279999,193.00,198.149994,6816100,198.149994
2016-12-12,192.800003,194.419998,191.179993,192.429993,615800,192.429993
2016-12-09,190.869995,193.839996,190.809998,192.179993,2719600,192.179993
2016-12-08,192.050003,192.50,189.539993,192.289993,3187300,192.289993
2016-12-07,186.149994,193.399994,185.00,193.149994,5441400,193.149994
2016-12-06,185.520004,186.580002,182.679993,185.850006,3372000,185.850006
2016-12-05,182.509995,188.889999,182.509995,186.800003,4066500,186.800003
2016-12-02,182.880005,184.880005,180.00,181.470001,4037200,181.470001
2016-12-01,188.25,188.529999,181.00,181.880005,5112100,181.880005
2016-11-30,191.00,191.889999,187.50,189.399994,3535000,189.399994
2016-11-29,195.559998,196.729996,189.50,189.570007,4431200,189.570007
2016-11-28,195.479996,199.350006,194.550003,196.119995,4487100,196.119995
2016-11-25,193.639999,197.240005,193.639999,196.649994,2363800,196.649994
2016-11-23,190.610001,195.639999,189.00,193.139999,4885300,193.139999
2016-11-22,185.839996,191.470001,183.710007,191.169998,5600300,191.169998
2016-11-21,185.039993,188.889999,184.410004,184.520004,4344600,184.520004
2016-11-18,190.649994,193.00,185.00,185.020004,5201100,185.020004
2016-11-17,183.490005,189.490005,182.110001,188.660004,4777800,188.660004
2016-11-16,182.649994,184.729996,181.210007,183.929993,3430400,183.929993
2016-11-15,182.779999,186.429993,182.050003,183.770004,3898900,183.770004
2016-11-14,188.00,188.25,178.190002,181.449997,6542200,181.449997
2016-11-11,184.240005,188.880005,183.00,188.559998,3984400,188.559998
2016-11-10,191.050003,191.610001,180.419998,185.350006,6748500,185.350006
2016-11-09,186.880005,192.00,183.949997,190.059998,8158800,190.059998
2016-11-08,193.789993,197.490005,191.259995,194.940002,3251400,194.940002
2016-11-07,193.589996,194.289993,190.050003,193.210007,3852000,193.210007
2016-11-04,189.00,193.460007,185.960007,190.559998,5140900,190.559998
2016-11-03,189.00,191.470001,187.039993,187.419998,2641400,187.419998
2016-11-02,190.050003,192.699997,187.509995,188.020004,4208700,188.020004
2016-11-01,198.039993,198.50,188.110001,190.789993,7014900,190.789993
2016-10-31,202.490005,202.490005,195.809998,197.729996,4685100,197.729996
2016-10-28,204.00,205.320007,199.830002,199.970001,4255500,199.970001
2016-10-27,211.339996,213.699997,201.649994,204.009995,13066400,204.009995
2016-10-26,201.00,203.190002,200.100006,202.240005,4647800,202.240005
2016-10-25,202.899994,204.690002,201.199997,202.339996,2445000,202.339996
2016-10-24,201.00,203.949997,200.25,202.759995,2751600,202.759995
2016-10-21,198.600006,201.570007,197.410004,200.089996,2943400,200.089996
2016-10-20,202.119995,203.00,197.050003,199.100006,5072900,199.100006
2016-10-19,199.740005,206.660004,198.059998,203.559998,6991200,203.559998
2016-10-18,195.990005,199.470001,193.259995,199.100006,5680500,199.100006
2016-10-17,197.050003,198.389999,192.00,193.960007,4554100,193.960007
2016-10-14,200.660004,201.429993,196.300003,196.509995,4269900,196.509995
2016-10-13,200.50,200.899994,197.050003,200.240005,2494600,200.240005
2016-10-12,200.949997,203.880005,200.419998,201.509995,1970700,201.509995
2016-10-11,201.850006,202.199997,198.309998,200.100006,2328400,200.100006
2016-10-10,201.350006,204.139999,199.660004,200.949997,3316300,200.949997
2016-10-07,201.00,201.320007,195.800003,196.610001,3493000,196.610001
2016-10-06,202.460007,204.210007,200.210007,201.00,4703400,201.00
2016-10-05,212.240005,213.149994,208.119995,208.460007,1877500,208.460007
2016-10-04,213.100006,213.320007,208.820007,211.410004,3541500,211.410004
2016-10-03,212.300003,215.669998,208.25,213.699997,5999900,213.699997
2016-09-30,202.210007,204.979996,199.550003,204.029999,2586300,204.029999
2016-09-29,205.600006,207.330002,200.580002,200.699997,2727000,200.699997
2016-09-28,207.509995,208.25,205.259995,206.270004,2088400,206.270004
2016-09-27,209.649994,209.979996,204.610001,205.809998,3373200,205.809998
2016-09-26,206.50,211.00,206.50,208.990005,2394400,208.990005
