Date,Close,Diff,Binary
2016-11-01,190.79,,0
2016-11-02,188.02,-2.77,0
2016-11-03,187.42,-0.6,0
2016-11-04,190.56,3.14,4
2016-11-07,193.21,2.65,4
2016-11-08,194.94,1.73,4
2016-11-09,190.06,-4.88,0
2016-11-10,185.35,-4.71,0
2016-11-11,188.56,3.21,4
2016-11-14,181.45,-7.11,0
2016-11-15,183.77,2.32,4
2016-11-16,183.93,0.16,4
2016-11-17,188.66,4.73,4
2016-11-18,185.02,-3.64,0
2016-11-21,184.52,-0.5,0
2016-11-22,191.17,6.65,4
2016-11-23,193.14,1.97,4
2016-11-25,196.65,3.51,4
2016-11-28,196.12,-0.53,0
2016-11-29,189.57,-6.55,0
2016-11-30,189.4,-0.17,0
2016-12-01,181.88,-7.52,0
2016-12-02,181.47,-0.41,0
2016-12-05,186.8,5.33,4
2016-12-06,185.85,-0.95,0
2016-12-07,193.15,7.3,4
2016-12-08,192.29,-0.86,0
2016-12-09,192.18,-0.11,0
2016-12-12,192.43,0.25,4
2016-12-13,198.15,5.72,4
2016-12-14,198.69,0.54,4
2016-12-15,197.58,-1.11,0
2016-12-16,202.49,4.91,4
2016-12-19,202.73,0.24,4
2016-12-20,208.79,6.06,4
2016-12-21,207.7,-1.09,0
2016-12-22,208.45,0.75,4
2016-12-23,213.34,4.89,4
2016-12-27,219.53,6.19,4
2016-12-28,219.74,0.21,4
2016-12-29,214.68,-5.06,0
2016-12-30,213.69,-0.99,0
2017-01-03,216.99,3.3,4
2017-01-04,226.99,10.0,4
2017-01-05,226.75,-0.24,0
2017-01-06,229.01,2.26,4
2017-01-09,231.28,2.27,4
2017-01-10,229.87,-1.41,0
2017-01-11,229.73,-0.14,0
2017-01-12,229.59,-0.14,0
2017-01-13,237.75,8.16,4
2017-01-17,235.58,-2.17,0
2017-01-18,238.36,2.78,4
2017-01-19,243.76,5.4,4
2017-01-20,244.73,0.97,4
2017-01-23,248.92,4.19,4
2017-01-24,254.61,5.69,4
2017-01-25,254.47,-0.14,0
2017-01-26,252.51,-1.96,0
2017-01-27,252.95,0.44,4
2017-01-30,250.63,-2.32,0
2017-01-31,251.93,1.3,4
2017-02-01,249.24,-2.69,0
2017-02-02,251.55,2.31,4
2017-02-03,251.33,-0.22,0
2017-02-06,257.77,6.44,4
2017-02-07,257.48,-0.29,0
2017-02-08,262.08,4.6,4
2017-02-09,269.2,7.12,4
2017-02-10,269.23,0.03,4
2017-02-13,280.6,11.37,4
2017-02-14,280.98,0.38,4
2017-02-15,279.76,-1.22,0
2017-02-16,268.95,-10.81,0
2017-02-17,272.23,3.28,4
2017-02-21,277.39,5.16,4
2017-02-22,273.51,-3.88,0
2017-02-23,255.99,-17.52,0
2017-02-24,257.0,1.01,4
2017-02-27,246.23,-10.77,0
2017-02-28,249.99,3.76,4
2017-03-01,250.02,0.03,4
2017-03-02,250.48,0.46,4
2017-03-03,251.57,1.09,4
2017-03-06,251.21,-0.36,0
2017-03-07,248.59,-2.62,0
2017-03-08,246.87,-1.72,0
2017-03-09,244.9,-1.97,0
2017-03-10,243.69,-1.21,0
2017-03-13,246.17,2.48,4
2017-03-14,258.0,11.83,4
2017-03-15,255.73,-2.27,0
2017-03-16,262.05,6.32,4
2017-03-17,261.5,-0.55,0
2017-03-20,261.92,0.42,4
2017-03-21,250.68,-11.24,0
2017-03-22,255.01,4.33,4
2017-03-23,254.78,-0.23,0
2017-03-24,263.16,8.38,4
2017-03-27,270.22,7.06,4
2017-03-28,277.45,7.23,4
2017-03-29,277.38,-0.07,0
2017-03-30,277.92,0.54,4
2017-03-31,278.3,0.38,4
2017-04-03,298.52,20.22,4
2017-04-04,303.7,5.18,4
2017-04-05,295.0,-8.7,0
2017-04-06,298.7,3.7,4
2017-04-07,302.54,3.84,4
2017-04-10,312.39,9.85,4
2017-04-11,308.71,-3.68,0
2017-04-12,296.84,-11.87,0
2017-04-13,304.0,7.16,4
2017-04-17,301.44,-2.56,0
2017-04-18,300.25,-1.19,0
2017-04-19,305.52,5.27,4
2017-04-20,302.51,-3.01,0
2017-04-21,305.6,3.09,4
2017-04-24,308.03,2.43,4
2017-04-25,313.79,5.76,4
2017-04-26,310.17,-3.62,0
2017-04-27,308.63,-1.54,0
2017-04-28,314.07,5.44,4
